entry_fib_level,entry_limit_offset_atr,maximin,worst_window,n_survived,breached,min_wr,avg_net,max_tdd,max_ddd,net_w0,net_w1,net_w2,net_w3,net_w4,elapsed_s
0.5,0.1,-995174,2019-07-01,4,True,39.0,30764,10.01,5.38,31463,4826,14373,38474,64684,481
0.5,0.2,-996367,2022-01-01,4,True,45.6,94763,10.08,4.46,75092,3633,153385,78572,163135,606
0.5,0.3,-961210,2022-01-01,4,True,38.3,70974,10.08,3.61,43683,38790,124407,86462,61528,608
0.5,0.0,33488,,5,False,43.9,62926,5.51,3.84,46061,46396,33488,46552,142132,624
0.5,0.4,-1005004,2016-01-01,4,True,31.6,43502,10.01,5.67,61478,-5004,21970,32512,106555,507
0.55,0.1,-1005001,2016-01-01,4,True,36.2,41423,10.09,4.95,62388,-5001,53020,43306,53401,447
0.55,0.2,-991946,2016-01-01,4,True,44.9,91254,10.03,4.13,61291,8054,71351,188776,126796,502
0.55,0.0,-991067,2016-01-01,4,True,42.2,36336,10.0,4.35,39950,8933,48955,46897,36943,527
0.55,0.3,-1005007,2016-01-01,4,True,36.2,87560,10.03,4.03,36998,-5007,43759,62078,299972,555
0.55,0.4,-978120,2016-01-01,4,True,45.3,100361,10.02,5.18,21880,110524,184605,48681,136116,553
