variable,level,net_pnl,max_tdd,win_rate,trades,failed,late_monthly_avg,elapsed_s
trend_min_confluence,4,103206,2.14,47.5,434,False,760,115
trend_min_confluence,5,103206,2.14,47.5,434,False,760,119
trend_min_confluence,7,103206,2.14,47.5,434,False,760,120
trend_min_confluence,6,103206,2.14,47.5,434,False,760,123
trend_min_confluence,8,103206,2.14,47.5,434,False,760,116
range_min_confluence,2,103206,2.14,47.5,434,False,760,116
range_min_confluence,3,103206,2.14,47.5,434,False,760,118
range_min_confluence,4,103206,2.14,47.5,434,False,760,118
range_min_confluence,5,103206,2.14,47.5,434,False,760,118
min_quality_factors,2,103206,2.14,47.5,434,False,760,118
min_quality_factors,3,103206,2.14,47.5,434,False,760,118
min_quality_factors,4,103206,2.14,47.5,434,False,760,116
entry_fib_level,0.55,39950,10.0,45.5,246,True,770,60
entry_fib_level,0.618,94826,7.85,46.7,261,True,1532,60
entry_fib_level,0.5,46061,0.64,47.7,308,False,336,88
min_quality_factors,5,54322,7.11,46.1,447,False,702,121
entry_limit_offset_atr,0.1,37583,10.03,46.3,244,True,731,60
entry_fib_level,0.7,52490,4.31,46.6,440,False,616,123
entry_limit_offset_atr,0.0,103206,2.14,47.5,434,False,760,117
entry_fib_level,0.786,145038,7.87,48.6,555,False,767,143
entry_limit_offset_atr,0.2,36687,10.02,46.3,328,True,670,76
atr_min_percentile,35.0,103206,2.14,47.5,434,False,760,116
atr_min_percentile,30.0,103206,2.14,47.5,434,False,760,119
entry_limit_offset_atr,0.3,193798,7.74,46.8,553,False,2013,145
atr_min_percentile,41.0,103206,2.14,47.5,434,False,760,118
atr_min_percentile,53.0,103206,2.14,47.5,434,False,760,117
atr_min_percentile,47.0,103206,2.14,47.5,434,False,760,119
atr_vol_ratio_range,0.7,103206,2.14,47.5,434,False,760,116
atr_vol_ratio_range,0.9,103206,2.14,47.5,434,False,760,119
atr_vol_ratio_range,1.1,103206,2.14,47.5,434,False,760,117
atr_vol_ratio_range,1.6,103206,2.14,47.5,434,False,760,115
atr_vol_ratio_range,1.4,103206,2.14,47.5,434,False,760,121
use_fib_filter,False,103206,2.14,47.5,434,False,760,119
use_fib_filter,True,103206,2.14,47.5,434,False,760,117
fib_zone_type,full_retracement,103206,2.14,47.5,434,False,760,119
fib_zone_type,extended,103206,2.14,47.5,434,False,760,118
fib_zone_type,golden_only,103206,2.14,47.5,434,False,760,119
