fib_c,fib_v,thr,adx,breached,n_survived,avg_wr,avg_trades,total_trades,tp1_hit_rate,slout_rate,mfe_r_median,mfe_r_p75,mae_r_median,avg_net,maximin,nets,elapsed_s
0.35,0.7,1.15,0.0,False,5,48.4,386.0,1932,78.8,21.2,0.92,1.55,0.61,55568.0,17095,33135|54514|143415|17095|29679,584
0.45,0.4,1.15,0.0,False,5,48.9,387.0,1934,78.5,21.5,0.9,1.6,0.58,57948.0,9720,9720|30411|28115|34938|186554,638
0.35,0.0,1.05,0.0,False,5,50.2,366.0,1828,79.2,20.8,0.93,1.49,0.57,50820.0,10628,10628|25530|26653|45658|145633,690
0.4,0.7,1.15,0.0,False,5,48.2,438.0,2191,78.9,21.1,0.91,1.59,0.63,46643.0,17689,18377|78902|17689|39173|79073,781
0.4,0.45,1.15,0.0,False,5,48.1,372.0,1862,80.3,19.7,0.89,1.56,0.61,55778.0,3140,36243|12109|114016|3140|113382,674
0.55,0.75,1.25,0.0,False,5,47.7,409.0,2047,77.1,22.9,0.95,1.68,0.65,65565.0,8933,100645|8933|45545|106075|66625,656
0.45,0.65,1.35,0.0,False,5,47.8,472.0,2361,79.4,20.6,0.92,1.58,0.64,49804.0,25798,25798|30417|75875|37409|79522,785
0.45,0.75,1.35,0.0,False,5,47.7,448.0,2239,76.4,23.6,0.9,1.6,0.64,51746.0,24634,24634|30417|73715|35133|94831,735
0.35,0.78,1.15,0.0,False,5,47.7,429.0,2146,78.4,21.6,0.92,1.52,0.64,40242.0,16306,74118|18941|44657|16306|47188,738
0.45,0.5,1.15,0.0,False,5,47.6,433.0,2164,76.8,23.2,0.89,1.57,0.63,47066.0,19067,25705|19067|51023|72613|66920,702
0.45,0.8,1.15,0.0,False,5,47.4,450.0,2249,76.1,23.9,0.92,1.65,0.6,70034.0,18665,18665|117358|34004|71882|108263,666
0.55,0.8,1.05,0.0,False,5,47.5,479.0,2393,76.7,23.3,0.96,1.74,0.67,59843.0,28732,93713|67611|28732|33672|75489,807
0.55,0.75,1.05,0.0,False,5,47.3,494.0,2469,77.3,22.7,0.97,1.71,0.66,50452.0,29875,33887|29875|47310|110343|30843,791
0.35,0.5,1.15,0.0,False,5,46.9,337.0,1686,80.7,19.3,0.93,1.54,0.64,39227.0,10331,10331|32563|47693|28705|76842,603
0.35,0.65,1.15,0.0,False,5,47.0,452.0,2258,79.2,20.8,0.92,1.52,0.62,47043.0,14400,14400|29295|80025|79103|32390,823
0.4,0.78,1.15,0.0,False,5,47.0,455.0,2276,78.3,21.7,0.89,1.56,0.64,44586.0,29853,29853|34714|31453|51109|75802,797
