trial,breached,objective,maximin,avg_net,worst_tdd,n_survived,fail_window,tp1_r_multiple,tp2_r_multiple,tp3_r_multiple,tp4_r_multiple,tp5_r_multiple,tp1_close_pct,tp2_close_pct,tp3_close_pct,tp4_close_pct,tp5_close_pct,sl_after_tp2_r,sl_after_tp3_r,sl_after_tp4_r,net_w0,net_w1,net_w2,net_w3,net_w4
9,True,-997000000.0,,,,3,3,0.6,0.9,1.3,2.0,3.5,0.25,0.3,0.15,0.2,0.1,0.5,0.9,0.9,177173,81076,72150,,
12,False,0.0,,,,5,,0.5,0.7999999999999999,2.3,3.6999999999999997,3.9999999999999996,0.45,0.4,0.3,0.1,-0.25,,,,,,,,
11,True,-997000000.0,,,,3,3,0.7000000000000001,0.9000000000000001,2.6,3.1,6.0,0.15000000000000002,0.2,0.3,0.25,0.1,0.35000000000000003,0.75,0.8,154011,30978,53744,,
10,False,14288.0,17026,59222,8.37,5,,0.9,1.8,2.5,3.2,5.0,0.15,0.15,0.1,0.1,0.5,0.5,0.55,0.7,74607,17026,73119,75710,55648
8,False,49069.0,49069,107836,6.67,5,,0.9,1.7,2.4,3.4,4.7,0.1,0.35,0.15,0.1,0.3,0.7,1.6,2.0,106612,137062,100608,49069,145831
14,False,0.0,,,,5,,0.4,0.6000000000000001,2.5,3.0,3.8,0.30000000000000004,0.35,0.2,0.15000000000000002,0.0,,,,,,,,
15,False,0.0,,,,5,,0.7000000000000001,1.4000000000000001,2.8,3.3,4.199999999999999,0.30000000000000004,0.30000000000000004,0.2,0.2,0.0,,,,,,,,
16,False,0.0,,,,5,,0.7000000000000001,1.7000000000000002,2.5,3.9,4.7,0.45,0.25,0.15000000000000002,0.2,-0.05,,,,,,,,
20,False,0.0,,,,5,,1.0,1.2,2.8,3.6999999999999997,5.3999999999999995,0.15000000000000002,0.25,0.3,0.25,0.05,,,,,,,,
18,True,-999000000.0,,,,1,1,0.6000000000000001,1.5,2.8,3.4999999999999996,4.299999999999999,0.25,0.1,0.1,0.05,0.5,0.2,0.6000000000000001,0.6500000000000001,176524,,,,
22,True,-999000000.0,,,,1,1,0.9,1.6,2.1,2.6,2.9,0.1,0.45,0.05,0.3,0.1,0.9,1.6,2.1,67508,,,,
24,True,-999000000.0,,,,1,1,0.9,1.6,2.0,2.5999999999999996,2.8999999999999995,0.1,0.45,0.05,0.3,0.1,0.9,1.6,2.0,41174,,,,
21,True,-999000000.0,,,,1,1,0.9,1.6,2.0,2.5999999999999996,2.9999999999999996,0.1,0.45,0.05,0.3,0.1,0.9,1.6,2.0,134086,,,,
32,True,-999000000.0,,,,1,1,1.0,1.8,2.3,3.3,4.8999999999999995,0.2,0.1,0.15000000000000002,0.05,0.5,0.6000000000000001,1.2000000000000002,1.5500000000000003,105366,,,,
39,False,-33854.0,-3102,31510,9.24,5,,0.8,1.8,2.4,3.4,5.0,0.2,0.15000000000000002,0.1,0.1,0.45,0.65,1.2000000000000002,1.4500000000000002,65767,9130,68223,-3102,17530
37,False,9577.0,9577,46435,7.99,5,,0.8,1.8,2.4,3.3,5.1,0.2,0.15000000000000002,0.1,0.1,0.45,0.65,1.25,1.5,81662,9577,50859,13483,76592
38,False,-37864.0,-4064,61939,9.3,5,,0.8,1.8,2.4,3.3,5.1,0.2,0.15000000000000002,0.1,0.1,0.45,0.65,1.2000000000000002,1.4500000000000002,108719,9131,149409,-4064,46498
40,False,383.0,9095,80855,8.66,5,,0.8,1.8,2.4,3.3,5.0,0.2,0.15000000000000002,0.1,0.1,0.45,0.6000000000000001,1.2000000000000002,1.4500000000000002,112914,9095,150750,49700,81814
43,True,-997000000.0,,,,3,3,1.0,1.7,2.6,3.1,5.6,0.15000000000000002,0.35,0.2,0.15000000000000002,0.15,0.5,0.5,1.05,52486,38876,24832,,
42,False,-6113.0,-2751,41460,8.41,5,,1.0,1.7,2.6,3.1,5.5,0.15000000000000002,0.35,0.2,0.15000000000000002,0.15,0.5,0.5,1.15,71381,41447,50000,-2751,47225
41,False,20515.0,20515,62479,7.64,5,,0.8,1.8,2.6,3.1,5.4,0.15000000000000002,0.2,0.2,0.1,0.35,0.65,1.25,1.65,110088,45936,106554,20515,29300
44,True,-997000000.0,,,,3,3,1.0,1.7,2.6,3.1,5.6,0.15000000000000002,0.35,0.2,0.15000000000000002,0.15,0.45,0.45,0.5,143479,28607,144421,,
46,False,-64414.0,-4556,59697,9.73,5,,1.0,1.7,2.2,3.6,5.4,0.1,0.4,0.15000000000000002,0.05,0.3,0.75,1.4,1.75,49135,68624,172927,-4556,12354
47,True,-997000000.0,,,,3,3,0.8,1.7000000000000002,2.3000000000000003,3.6,5.3,0.1,0.2,0.15000000000000002,0.05,0.5,0.75,1.4,1.7999999999999998,48582,77453,30946,,
50,True,-999000000.0,,,,1,1,0.9,1.6,2.7,3.2,4.6,0.1,0.2,0.25,0.05,0.4,0.75,1.05,1.75,25787,,,,
49,False,16962.0,16962,82375,7.41,5,,0.9,1.7000000000000002,2.5,3.5999999999999996,5.3,0.1,0.2,0.15000000000000002,0.05,0.5,0.75,1.4,1.75,67256,43755,49559,16962,234341
48,False,25591.0,25591,72022,7.33,5,,0.9,1.7000000000000002,2.5,3.5,5.3,0.1,0.2,0.15000000000000002,0.05,0.5,0.75,1.4500000000000002,1.7500000000000002,76567,25591,49958,75980,132015
51,True,-997000000.0,,,,3,3,0.9,1.6,2.7,3.2,4.6,0.15000000000000002,0.2,0.25,0.1,0.3,0.75,1.0,2.2,46788,66377,48439,,
53,True,-999000000.0,,,,1,1,0.7000000000000001,1.5000000000000002,2.5,3.9,5.800000000000001,0.1,0.30000000000000004,0.25,0.05,0.3,0.65,1.4500000000000002,1.6500000000000001,52925,,,,
52,True,-997000000.0,,,,3,3,0.9,1.5,2.5,2.9,6.0,0.15000000000000002,0.1,0.25,0.1,0.4,0.35000000000000003,0.9000000000000001,1.2500000000000002,34323,27239,28171,,
56,True,-999000000.0,,,,1,1,0.6000000000000001,1.3,1.5,1.8,3.4000000000000004,0.25,0.25,0.2,0.1,0.2,0.55,1.25,1.4,237367,,,,
