trial,objective
21,-inf
22,-inf
24,-inf
25,-inf
26,-inf
27,-inf
29,-inf
31,-inf
37,-inf
38,-inf
40,-inf
42,-inf
44,-inf
53,-inf
54,-inf
56,-inf
60,-inf
66,-inf
68,-inf
74,-inf
88,34064
89,-inf
90,1367
91,18468
92,18696
93,12494
94,38303
95,33115
98,-3315
101,-inf
104,-inf
105,50700
106,34100
107,29359
108,35145
109,50325
112,31955
113,-inf
114,30880
115,39241
116,30749
117,25452
118,47308
119,-inf
122,19933
124,-inf
127,32407
128,41287
139,-inf
144,-inf
145,17371
146,74387
147,30028
148,69397
149,49884
150,11669
151,47839
152,49312
153,-inf
154,45530
158,12877
159,35625
160,31882
161,47031
163,-inf
164,31498
165,71358
166,-inf
167,47205
169,29210
170,72472
172,11625
174,17153
175,599
176,-inf
177,34288
178,15137
179,-inf
180,19309
181,47956
182,75262
183,-inf
185,33874
186,-inf
187,49465
188,13055
189,33377
191,31929
193,52655
194,45620
