ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,mfe_r,mae_r,partial
1000012,AUD_CHF,sell,1.71,0.74178,0.74227,2017-01-03 11:15:00+00:00,2017-01-03 21:00:00+00:00,-83.78999999999837,0.0,0.7513080164304342,0,0.067,0.277,
1000009_partial_1483477200,GBP_JPY,sell,0.2,144.88545,144.006,2017-01-03 07:30:00+00:00,2017-01-03 21:00:00+00:00,175.88999999999828,0.0,148.1296774498188,0,,,True
1000006_partial_1483477200,EUR_GBP,buy,0.12,0.846923,0.85032,2017-01-03 09:30:00+00:00,2017-01-03 21:00:00+00:00,40.7639999999998,0.0,0.8323152751409848,0,,,True
1000026_partial_1483533000,AUD_CAD,sell,0.61,0.9745745,0.9687106373462033,2017-01-04 08:00:00+00:00,2017-01-04 12:30:00+00:00,357.6956218815975,0.0,0.9863022253075934,0,,,True
1000018_partial_1483534800,USD_CAD,sell,0.2,1.34262,1.3316467053746563,2017-01-04 00:00:00+00:00,2017-01-04 13:00:00+00:00,219.46589250687154,0.0,1.364566589250687,0,,,True
1000009_partial_1483563600,GBP_JPY,sell,0.1,144.88545,144.543,2017-01-03 07:30:00+00:00,2017-01-04 21:00:00+00:00,34.24499999999853,0.0,148.1296774498188,0,,,True
1000006_partial_1483563600,EUR_GBP,buy,0.06,0.846923,0.85121,2017-01-03 09:30:00+00:00,2017-01-04 21:00:00+00:00,25.72200000000024,0.0,0.8323152751409848,0,,,True
1000022_partial_1483563600,EUR_CHF,sell,0.86,1.07094,1.07084,2017-01-04 10:00:00+00:00,2017-01-04 21:00:00+00:00,8.599999999999053,0.0,1.07797328959411,0,,,True
1000006,EUR_GBP,buy,0.05000000000000002,0.846923,0.8542268624295075,2017-01-03 09:30:00+00:00,2017-01-05 05:15:00+00:00,36.51931214753769,0.0,0.8323152751409848,0,0.613,0.129,
1000009,GBP_JPY,sell,0.09,144.88545,143.26333627509058,2017-01-03 07:30:00+00:00,2017-01-05 06:30:00+00:00,145.99023524184702,0.0,148.1296774498188,0,0.595,0.159,
1000026,AUD_CAD,sell,0.7400000000000001,0.9745745,0.9722789549384814,2017-01-04 08:00:00+00:00,2017-01-05 14:30:00+00:00,169.8703345523789,0.0,0.9722289549384814,0,0.712,0.099,
1000018_partial_1483631100,USD_CAD,sell,0.16,1.34262,1.3206734107493128,2017-01-04 00:00:00+00:00,2017-01-05 15:45:00+00:00,351.14542801099446,0.0,1.3382306821498624,0,,,True
1000029_partial_1483631100,NZD_USD,buy,0.01,0.6962265,0.7017208321242396,2017-01-05 11:15:00+00:00,2017-01-05 15:45:00+00:00,5.494332124239665,0.0,0.6852378357515205,0,,,True
1000022,EUR_CHF,sell,0.86,1.07094,1.07085,2017-01-04 10:00:00+00:00,2017-01-05 21:00:00+00:00,7.739999999993419,0.0,1.07797328959411,0,0.226,0.407,
1000017,USD_CHF,buy,0.08,1.016736,1.00995,2017-01-05 00:00:00+00:00,2017-01-05 21:00:00+00:00,-54.288000000001446,0.0,1.0024142388654933,0,0.376,0.561,
1000035,CAD_JPY,sell,1.02,87.241,87.244,2017-01-05 06:45:00+00:00,2017-01-05 21:00:00+00:00,-3.060000000000116,0.0,89.07710764080483,0,0.059,0.288,
1000028,AUD_USD,sell,0.08,0.73384,0.73416,2017-01-05 15:15:00+00:00,2017-01-05 21:00:00+00:00,-2.5599999999998957,0.0,0.7557824353998767,0,0.051,0.084,
1000033,AUD_CHF,sell,0.03,0.74099,0.74146,2017-01-05 16:45:00+00:00,2017-01-05 21:00:00+00:00,-1.4099999999999113,0.0,0.7511736468201193,0,0.042,0.138,
1000029,NZD_USD,buy,0.01,0.6962265,0.6983742328496959,2017-01-05 11:15:00+00:00,2017-01-06 13:45:00+00:00,2.147732849695938,0.0,0.6984242328496959,0,0.751,0.077,
1000036_partial_1483712100,EUR_USD,sell,0.57,1.059062,1.0541827494952858,2017-01-06 00:15:00+00:00,2017-01-06 14:15:00+00:00,278.11727876870714,0.0,1.0689705010094288,0,,,True
1000036,EUR_USD,sell,0.7000000000000001,1.059062,1.0571902997981144,2017-01-06 00:15:00+00:00,2017-01-06 15:00:00+00:00,131.0190141319878,0.0,1.0571402997981143,0,0.556,0.321,
1000047_partial_1483719300,AUD_CAD,sell,1.12,0.9699975,0.9657257625587161,2017-01-06 05:00:00+00:00,2017-01-06 16:15:00+00:00,478.43459342379015,0.0,0.9786909748825676,0,,,True
1000037_partial_1483731000,GBP_USD,sell,0.2,1.2377094999999998,1.22659,2017-01-06 05:15:00+00:00,2017-01-06 19:30:00+00:00,222.38999999999453,0.0,1.2623838293623713,0,,,True
1000046_partial_1483731000,AUD_CHF,sell,0.44,0.7400315000000001,0.74262,2017-01-06 07:00:00+00:00,2017-01-06 19:30:00+00:00,-113.89399999999483,0.0,0.7510941006186822,0,,,True
1000042_partial_1483731000,EUR_CHF,sell,0.95,1.07226,1.0715,2017-01-06 08:15:00+00:00,2017-01-06 19:30:00+00:00,72.20000000000893,0.0,1.0774326909528356,0,,,True
1000037_partial_1483914600,GBP_USD,sell,0.3,1.2377094999999998,1.2254473353188142,2017-01-06 05:15:00+00:00,2017-01-08 22:30:00+00:00,367.8649404355671,0.0,1.2623838293623713,0,,,True
1000047,AUD_CAD,sell,1.3599999999999999,0.9699975,0.9683688050234864,2017-01-06 05:00:00+00:00,2017-01-09 00:00:00+00:00,221.50251680583906,0.0,0.9683188050234864,0,0.629,0.458,
1000054_partial_1483976700,EUR_GBP,buy,0.14,0.860702,0.8686258603363008,2017-01-09 04:45:00+00:00,2017-01-09 15:45:00+00:00,110.93404470821234,0.0,0.8447042793273982,0,,,True
