trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
0,756.0,0.6,0.6,0.72,0.84,0.92,28,9,0.0,25
1,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
2,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
3,762.0,0.6,0.6,0.72,0.84,0.96,30,9,0.0,25
4,762.0,0.6,0.6,0.72,0.88,0.96,30,9,0.0,25
5,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
6,770.0,0.6,0.6,0.72,0.84,1.0,30,9,0.0,25
7,722.0,0.56,0.56,0.64,0.84,0.96,30,9,0.0,25
8,-67000.0,0.0,0.0,0.0,0.0,0.0,,,0.067,15
9,762.0,0.6,0.6,0.76,0.92,0.96,30,9,0.0,25
10,-333000.0,0.0,0.0,0.0,0.0,0.0,,,0.333,3
