trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
0,1020.0,0.84,0.84,0.88,1.0,1.0,20,6,0.0,25
1,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,16
2,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
3,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
4,791.0,0.64,0.64,0.84,0.84,0.88,25,8,0.0,25
5,1020.0,0.84,0.84,0.88,0.88,1.0,20,6,0.0,25
6,936.0,0.76,0.76,0.88,0.88,1.0,24,6,0.0,25
7,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
8,1020.0,0.84,0.84,0.88,0.96,1.0,20,6,0.0,25
9,1020.0,0.84,0.84,0.88,0.88,1.0,20,6,0.0,25
10,1020.0,0.84,0.84,0.88,0.92,1.0,20,6,0.0,25
11,1020.0,0.84,0.84,0.88,0.92,1.0,20,6,0.0,25
12,1020.0,0.84,0.84,0.84,0.92,1.0,20,6,0.0,25
13,1018.0,0.84,0.84,0.88,0.88,1.0,22,6,0.0,25
14,1020.0,0.84,0.84,0.88,0.92,1.0,20,6,0.0,25
15,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,16
16,1019.0,0.84,0.84,0.88,0.88,1.0,21,6,0.0,25
