ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,mfe_r,mae_r,partial
1000000,EUR_USD,buy,4.7700000000000005,1.2253699999999998,1.2251,2021-01-04 01:30:00+00:00,2021-01-04 22:00:00+00:00,-128.7899999998905,0.0,1.2161279006088315,0,0.607,0.133,
1000006,EUR_JPY,buy,4.59,126.367,126.327,2021-01-04 09:30:00+00:00,2021-01-04 22:00:00+00:00,-183.6000000000287,0.0,125.3675270495891,0,0.429,0.105,
1000009,EUR_CAD,buy,2.7600000000000002,1.562057,1.56578,2021-01-04 12:45:00+00:00,2021-01-04 22:00:00+00:00,1027.5479999999784,0.0,1.5418585702644478,0,0.297,0.13,
1000011,GBP_JPY,buy,1.57,140.001,139.958,2021-01-04 15:30:00+00:00,2021-01-04 22:00:00+00:00,-67.51000000001,0.0,138.00350795004806,0,0.095,0.153,
1000008,EUR_AUD,sell,0.51,1.5976899999999998,1.59792,2021-01-04 16:00:00+00:00,2021-01-04 22:00:00+00:00,-11.7300000000089,0.0,1.623021003109568,0,0.039,0.209,
1000016,AUD_CHF,buy,4.15,0.6756599999999999,0.67564,2021-01-04 16:00:00+00:00,2021-01-04 22:00:00+00:00,-8.299999999962226,0.0,0.6662342810933501,0,0.067,0.227,
1000010,EUR_NZD,sell,2.94,1.7123385,1.70815,2021-01-04 17:30:00+00:00,2021-01-04 22:00:00+00:00,1231.4189999999787,0.0,1.7333562996211762,0,0.326,0.011,
1000007_partial_1609797600,EUR_CHF,sell,2.88,1.082228,1.07956,2021-01-04 01:15:00+00:00,2021-01-04 22:00:00+00:00,768.3839999999691,0.0,1.0893269789424265,0,,,True
1000013_partial_1609797600,GBP_CAD,buy,0.9,1.7252990000000001,1.73473,2021-01-04 15:00:00+00:00,2021-01-04 22:00:00+00:00,848.789999999997,0.0,1.6930513945785308,0,,,True
1000032_partial_1609871400,GBP_AUD,sell,0.59,1.76986,1.7544500955446862,2021-01-05 00:00:00+00:00,2021-01-05 18:30:00+00:00,909.1843628635116,0.0,1.7935675453158673,0,,,True
1000013,GBP_CAD,buy,0.29999999999999993,1.7252990000000001,1.72575,2021-01-04 15:00:00+00:00,2021-01-05 22:00:00+00:00,13.529999999992711,0.0,1.6930513945785308,0,0.346,0.015,
1000028,EUR_JPY,buy,5.07,126.289,126.296,2021-01-05 06:15:00+00:00,2021-01-05 22:00:00+00:00,35.49000000002536,0.0,125.37395368890417,0,0.071,0.257,
1000030,EUR_CAD,buy,2.7800000000000002,1.562057,1.55796,2021-01-05 15:00:00+00:00,2021-01-05 22:00:00+00:00,-1138.966000000005,0.0,1.5418286723884158,0,0.113,0.272,
1000032,GBP_AUD,sell,1.7800000000000002,1.76986,1.75546,2021-01-05 00:00:00+00:00,2021-01-05 22:00:00+00:00,2563.199999999995,0.0,1.7722307545315867,0,0.73,0.039,
1000007_partial_1609884000,EUR_CHF,sell,0.72,1.082228,1.0801,2021-01-04 01:15:00+00:00,2021-01-05 22:00:00+00:00,153.21599999999336,0.0,1.0893269789424265,0,,,True
1000020_partial_1609884000,EUR_USD,buy,3.54,1.2255794999999998,1.22959,2021-01-05 00:30:00+00:00,2021-01-05 22:00:00+00:00,1419.7170000000492,0.0,1.2161884077082008,0,,,True
1000020,EUR_USD,buy,1.1799999999999997,1.2255794999999998,1.2314857099896694,2021-01-05 00:30:00+00:00,2021-01-06 06:45:00+00:00,696.9327787810149,0.0,1.2161884077082008,0,0.752,0.023,
1000044_partial_1609919100,EUR_JPY,buy,1.31,126.212,126.76675652348285,2021-01-06 00:00:00+00:00,2021-01-06 07:45:00+00:00,726.731045762535,0.0,125.35852842541101,0,,,True
1000007,EUR_CHF,sell,0.24,1.082228,1.08288,2021-01-04 01:15:00+00:00,2021-01-06 22:00:00+00:00,-15.648000000002327,0.0,1.0893269789424265,0,0.46,0.22,
1000046,EUR_CAD,buy,2.67,1.56303,1.56314,2021-01-06 08:45:00+00:00,2021-01-06 22:00:00+00:00,29.37000000001455,0.0,1.5418601957892433,0,0.137,0.223,
