ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial,mfe_r,mae_r
1000018_partial_1451894400,AUD_JPY,sell,0.26,86.92805000000001,85.7791259650203,2016-01-04 01:45:00+00:00,2016-01-04 08:00:00+00:00,298.7202490947257,0.0,88.70831774612263,0,True,,
1000003_partial_1451919600,USD_CHF,buy,0.37,0.995168,1.0038167348934932,2016-01-04 05:30:00+00:00,2016-01-04 15:00:00+00:00,320.00319105924683,0.0,0.9818622540100107,0,True,,
1000000_partial_1451922300,EUR_USD,sell,0.36,1.089406,1.0804967430688432,2016-01-04 05:30:00+00:00,2016-01-04 15:45:00+00:00,320.73324952164654,0.0,1.1031125491248568,0,True,,
1000011,EUR_CAD,buy,0.56,1.50462,1.51128,2016-01-04 00:00:00+00:00,2016-01-04 22:00:00+00:00,372.9599999999938,0.0,1.4706603220085497,0,,0.602,0.134
1000006,NZD_USD,buy,1.3900000000000001,0.6785,0.67494,2016-01-04 01:00:00+00:00,2016-01-04 22:00:00+00:00,-494.84000000000106,0.0,0.6643994327256528,0,,0.0,0.463
1000012,EUR_NZD,sell,1.09,1.60457,1.60522,2016-01-04 01:45:00+00:00,2016-01-04 22:00:00+00:00,-70.85000000000431,0.0,1.6249729852939179,0,,0.132,0.728
1000019,AUD_CHF,sell,0.61,0.723654,0.72007,2016-01-04 01:45:00+00:00,2016-01-04 22:00:00+00:00,218.62400000000193,0.0,0.7487805616665885,0,,0.305,0.0
1000010,EUR_AUD,buy,0.79,1.5065300000000001,1.50763,2016-01-04 02:30:00+00:00,2016-01-04 22:00:00+00:00,86.89999999999044,0.0,1.4725826739369259,0,,0.344,0.124
1000017,GBP_NZD,sell,0.4,2.17999,2.18125,2016-01-04 03:45:00+00:00,2016-01-04 22:00:00+00:00,-50.39999999999267,0.0,2.236165056563736,0,,0.059,0.23
1000014,GBP_CHF,sell,0.6,1.4791255,1.47522,2016-01-04 13:45:00+00:00,2016-01-04 22:00:00+00:00,234.33000000000703,0.0,1.5044938534073702,0,,0.231,0.0
1000018,AUD_JPY,sell,0.77,86.92805000000001,85.774,2016-01-04 01:45:00+00:00,2016-01-04 22:00:00+00:00,888.6185000000095,0.0,87.11057677461227,0,,0.892,0.0
1000000,EUR_USD,sell,1.0699999999999998,1.089406,1.0833,2016-01-04 05:30:00+00:00,2016-01-04 22:00:00+00:00,653.3420000000177,0.0,1.0907766549124858,0,,0.823,0.382
1000003,USD_CHF,buy,1.1,0.995168,1.00215,2016-01-04 05:30:00+00:00,2016-01-04 22:00:00+00:00,768.0200000000049,0.0,0.9938374254010012,0,,0.837,0.207
1000005_partial_1451944800,AUD_USD,sell,1.21,0.7236485,0.71853,2016-01-04 01:15:00+00:00,2016-01-04 22:00:00+00:00,619.3385000000031,0.0,0.7358699443477373,0,True,,
1000004_partial_1451944800,USD_CAD,buy,1.09,1.3903245000000002,1.39516,2016-01-04 01:45:00+00:00,2016-01-04 22:00:00+00:00,527.0694999999749,0.0,1.377371389371168,0,True,,
1000005_partial_1452005100,AUD_USD,sell,0.4,0.7236485,0.7157870611739707,2016-01-04 01:15:00+00:00,2016-01-05 14:45:00+00:00,314.45755304117193,0.0,0.7358699443477373,0,True,,
1000004,USD_CAD,buy,0.3599999999999999,1.3903245000000002,1.3986615219087408,2016-01-04 01:45:00+00:00,2016-01-05 16:00:00+00:00,300.13278871466287,0.0,1.377371389371168,0,,0.69,0.24
1000030,EUR_NZD,sell,1.34,1.60388,1.60324,2016-01-05 00:00:00+00:00,2016-01-05 22:00:00+00:00,85.75999999999651,0.0,1.6267285033611962,0,,0.269,0.306
1000028,EUR_AUD,buy,1.06,1.50099,1.50041,2016-01-05 01:45:00+00:00,2016-01-05 22:00:00+00:00,-61.48000000000265,0.0,1.4727739115128597,0,,0.214,0.129
