ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp
1000008,EUR_JPY,sell,0.06,158.176458,157.24194058914148,2025-03-03 12:00:00+00:00,2025-03-04 18:00:00+00:00,56.0710446515111,157.24194058914148,0
1000013,GBP_JPY,sell,0.060000000000000005,191.361628,190.28397837782987,2025-03-03 11:45:00+00:00,2025-03-04 18:45:00+00:00,64.65897733020768,190.28397837782987,0
1000009,EUR_CHF,sell,0.17,0.94054,0.9468310898366608,2025-03-03 10:15:00+00:00,2025-03-04 23:00:00+00:00,-106.94852722323212,0.9468310898366608,0
1000052,CHF_JPY,sell,0.06999999999999999,168.408,167.6288227828291,2025-03-04 21:15:00+00:00,2025-03-06 16:15:00+00:00,54.54240520196179,167.6288227828291,0
1000020,AUD_CAD,buy,0.16999999999999998,0.90131,0.904621812267519,2025-03-03 18:30:00+00:00,2025-03-07 00:30:00+00:00,56.30080854782448,0.904621812267519,0
1000067,GBP_JPY,sell,0.060000000000000005,191.361628,190.27110349108798,2025-03-05 00:15:00+00:00,2025-03-11 08:15:00+00:00,65.43147053472069,190.27110349108798,0
1000084,USD_CAD,buy,0.08,1.4297,1.4366081572939022,2025-03-06 15:00:00+00:00,2025-03-12 17:30:00+00:00,55.2652583512181,1.4366081572939022,0
1000157,USD_JPY,sell,0.09,149.111378,148.461378,2025-03-12 12:45:00+00:00,2025-03-14 04:15:00+00:00,58.50000000000051,148.461378,0
1000207,GBP_NZD,buy,0.12,2.25708872,2.238941962122631,2025-03-14 12:15:00+00:00,2025-03-17 13:15:00+00:00,-217.7610945284289,2.238941962122631,0
1000061,NZD_USD,sell,0.13,0.57061792,0.5800622464254938,2025-03-05 14:30:00+00:00,2025-03-17 14:00:00+00:00,-122.77624353141879,0.5800622464254938,0
1000164,GBP_JPY,sell,0.07,191.361628,194.11969388354305,2025-03-12 01:00:00+00:00,2025-03-18 01:15:00+00:00,-193.0646118480138,194.11969388354305,0
1000119,CHF_JPY,sell,0.09,168.268,170.3586604829851,2025-03-07 19:30:00+00:00,2025-03-18 08:00:00+00:00,-188.15944346865902,170.3586604829851,0
1000228,AUD_JPY,sell,0.06999999999999999,95.27,94.4340555719891,2025-03-17 18:45:00+00:00,2025-03-24 14:00:00+00:00,58.516109960762314,94.4340555719891,0
1000218,USD_JPY,sell,0.12,149.21,150.7422857142857,2025-03-17 18:45:00+00:00,2025-03-24 15:45:00+00:00,-183.87428571428472,150.7422857142857,0
