ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp,partial
1000001_partial_1735822800,GBP_USD,sell,0.02,1.2499656000000001,1.2411557359068737,2025-01-02 08:15:00+00:00,2025-01-02 13:00:00+00:00,17.619728186252903,1.2646487068218775,0,True
1000000_partial_1735830900,EUR_USD,sell,0.02,1.03673632,1.0293577965932847,2025-01-02 02:30:00+00:00,2025-01-02 15:15:00+00:00,14.757046813430374,1.049033859011192,0,True
1000011_partial_1735834500,EUR_CAD,sell,0.02,1.49129844,1.4805829122190177,2025-01-02 04:00:00+00:00,2025-01-02 16:15:00+00:00,21.431055561964563,1.5091576529683037,0,True
1000016,AUD_CHF,sell,0.25,0.5629323,0.56466,2025-01-02 01:15:00+00:00,2025-01-03 16:00:00+00:00,-43.19249999999997,0.5679425285065439,0,
1000017,AUD_CAD,sell,0.33,0.8953566000000001,0.89622,2025-01-02 08:45:00+00:00,2025-01-03 16:00:00+00:00,-28.492199999998636,0.9014496702831951,0,
1000007,EUR_GBP,sell,0.17,0.82928,0.82937,2025-01-02 09:00:00+00:00,2025-01-03 16:00:00+00:00,-1.5300000000005864,0.8360383309719598,0,
1000015,GBP_NZD,buy,0.13,2.2197932,2.21546,2025-01-02 10:30:00+00:00,2025-01-03 16:00:00+00:00,-56.33159999999471,2.2010562306514254,0,
1000010,EUR_AUD,buy,0.14,1.6602856799999999,1.6587,2025-01-02 13:45:00+00:00,2025-01-03 16:00:00+00:00,-22.199519999997367,1.6441125311260982,0,
1000019_partial_1735920000,NZD_JPY,sell,0.07,88.152,88.14,2025-01-02 00:15:00+00:00,2025-01-03 16:00:00+00:00,0.8400000000000319,89.80600227579713,0,True
1000018_partial_1735920000,AUD_NZD,buy,0.17,1.10672644,1.10776,2025-01-02 00:30:00+00:00,2025-01-03 16:00:00+00:00,17.570519999999814,1.0990934023707895,0,True
1000011_partial_1735920000,EUR_CAD,sell,0.04,1.49129844,1.48652,2025-01-02 04:00:00+00:00,2025-01-03 16:00:00+00:00,19.113759999999758,1.49129844,0,True
1000008_partial_1735920000,EUR_JPY,buy,0.04,161.757,161.946,2025-01-02 13:15:00+00:00,2025-01-03 16:00:00+00:00,7.559999999999718,158.971714393718,0,True
1000024_partial_1735920000,CHF_JPY,buy,0.04,172.707,172.906,2025-01-02 13:15:00+00:00,2025-01-03 16:00:00+00:00,7.960000000000491,170.30240298995622,0,True
1000014_partial_1735920000,GBP_AUD,buy,0.04,1.99578,1.99998,2025-01-02 13:45:00+00:00,2025-01-03 16:00:00+00:00,16.799999999999926,1.9695510095318123,0,True
1000012_partial_1735920000,EUR_NZD,buy,0.06,1.8291744,1.83738,2025-01-02 16:00:00+00:00,2025-01-03 16:00:00+00:00,49.23359999999954,1.808096703543655,0,True
