symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl,tp1_hit,tp2_hit,tp3_hit
AUD_CAD,bullish,2023-01-02T00:00:00+00:00,0.92165,2023-01-02T01:00:00+00:00,0.92165,0.07,118.17,0.28,0.2076305322839976,24.5357,True,False,False
AUD_JPY,bearish,2023-01-02T00:00:00+00:00,89.197,2023-01-02T01:00:00+00:00,89.197,0.03,131.66,0.12,0.20908856144614915,27.528599999999997,True,False,False
AUD_NZD,bullish,2023-01-02T00:00:00+00:00,1.07407,2023-01-02T01:00:00+00:00,1.07407,0.04,121.67,0.16,0.208684967535136,25.390699999999995,True,False,False
AUD_USD,bullish,2023-01-02T00:00:00+00:00,0.68131,2023-01-02T01:00:00+00:00,0.68131,0.07,123.87,0.28,0.20773956567369015,25.732699999999998,True,False,False
EUR_NZD,bullish,2023-01-02T00:00:00+00:00,1.68796,2023-01-02T01:00:00+00:00,1.68796,0.02,104.99,0.08,0.20923802266882557,21.967899999999997,True,False,False
EUR_USD,bullish,2023-01-02T00:00:00+00:00,1.07072,2023-01-02T01:00:00+00:00,1.07072,0.08,123.68,0.32,0.20741267787839585,25.6528,True,False,False
GBP_AUD,bearish,2023-01-02T00:00:00+00:00,1.77397,2023-01-02T01:00:00+00:00,1.77397,0.02,116.26,0.08,0.20931188714949253,24.334600000000002,True,False,False
GBP_CAD,bearish,2023-01-02T00:00:00+00:00,1.63516,2023-01-02T01:00:00+00:00,1.63516,0.02,110.9,0.08,0.20927862939585215,23.209000000000003,True,False,False
GBP_CHF,bearish,2023-01-02T00:00:00+00:00,1.11711,2023-01-02T01:00:00+00:00,1.11711,0.06,128.5,0.24,0.20813229571984435,26.744999999999997,True,False,False
GBP_JPY,bearish,2023-01-02T00:00:00+00:00,158.245,2023-01-02T01:00:00+00:00,158.245,0.01,97.94,0.04,0.20959158668572592,20.527399999999997,True,False,False
GBP_USD,bearish,2023-01-02T00:00:00+00:00,1.20891,2023-01-02T01:00:00+00:00,1.20891,0.03,121.1,0.12,0.20900908340214697,25.310999999999996,True,False,False
NZD_CHF,bearish,2023-01-02T00:00:00+00:00,0.58634,2023-01-02T01:00:00+00:00,0.58634,0.07,121.13,0.28,0.2076884339139767,25.157299999999996,True,False,False
USD_CAD,bearish,2023-01-02T00:00:00+00:00,1.35256,2023-01-02T01:00:00+00:00,1.35256,0.05,111.31,0.2,0.20820321624292518,23.1751,True,False,False
NZD_CAD,bearish,2023-01-02T00:00:00+00:00,0.85798,2023-01-02T02:00:00+00:00,0.85798,0.05,112.35,0.2,0.20821984868713841,23.3935,True,False,False
NZD_JPY,bearish,2023-01-02T00:00:00+00:00,83.06,2023-01-02T02:00:00+00:00,83.84130135911087,0.02,113.99,0.08,0.4525313464959495,51.58404818707328,True,True,False
GBP_NZD,bearish,2023-01-02T00:00:00+00:00,1.90581,2023-01-02T03:00:00+00:00,1.8929140505215099,0.05,123.89,0.2,0.8199749364037237,101.58669487105732,True,True,False
EUR_CAD,bullish,2023-01-02T00:00:00+00:00,1.4483,2023-01-02T05:00:00+00:00,1.4483,0.07,115.94,0.28,0.20758495773676036,24.067399999999996,True,False,False
AUD_CAD,bullish,2023-01-03T00:00:00+00:00,0.92253,2023-01-03T01:00:00+00:00,0.92253,0.07,125.59,0.28,0.2077705231308225,26.093899999999998,True,False,False
AUD_USD,bullish,2023-01-03T00:00:00+00:00,0.67962,2023-01-03T01:00:00+00:00,0.67962,0.08,129.82,0.32,0.20753504852873209,26.942199999999996,True,False,False
EUR_CAD,bullish,2023-01-03T00:00:00+00:00,1.44846,2023-01-03T01:00:00+00:00,1.44846,0.09,135.57,0.36,0.20734454525337462,28.109699999999997,True,False,False
GBP_AUD,bearish,2023-01-03T00:00:00+00:00,1.77373,2023-01-03T01:00:00+00:00,1.7748042006208773,0.02,116.86,0.08,0.5555496221045966,64.92152883914315,True,True,False
