ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,sl,tp,partial
1000005_partial_1420200000,AUD_USD,sell,0.18,0.81697268,0.8118585430405949,2015-01-02 00:45:00+00:00,2015-01-02 12:00:00+00:00,92.05446526929182,0.8254962415990086,0,True
1000006_partial_1420200000,NZD_USD,sell,0.15,0.77817804,0.7722175644776627,2015-01-02 01:15:00+00:00,2015-01-02 12:00:00+00:00,89.40713283506041,0.7881121658705623,0,True
1000004_partial_1420212600,USD_CAD,buy,0.15,1.16445344,1.1716987686700155,2015-01-02 04:15:00+00:00,2015-01-02 15:30:00+00:00,108.67993005023392,1.1523778922166406,0,True
1000001_partial_1420214400,GBP_USD,sell,0.06,1.55531984,1.5386678166934256,2015-01-02 01:15:00+00:00,2015-01-02 16:00:00+00:00,99.91213983944601,1.5830732121776236,0,True
1000009_partial_1420227000,EUR_CHF,sell,0.22,1.20234,1.20198,2015-01-02 00:00:00+00:00,2015-01-02 19:30:00+00:00,7.919999999998151,1.2102160616758049,0,True
1000013_partial_1420227000,GBP_JPY,buy,0.03,186.739,184.575,2015-01-02 00:00:00+00:00,2015-01-02 19:30:00+00:00,-64.92000000000046,180.89485920924392,0,True
1000018_partial_1420227000,AUD_CHF,sell,0.11,0.81026,0.81186,2015-01-02 11:00:00+00:00,2015-01-02 19:30:00+00:00,-17.600000000000502,0.8252960627721215,0,True
1000015_partial_1420227000,GBP_CAD,buy,0.08,1.7996062800000001,1.80238,2015-01-02 11:15:00+00:00,2015-01-02 19:30:00+00:00,22.189759999999836,1.7753837133970607,0,True
1000022_partial_1420227000,NZD_CAD,buy,0.19,0.9004867200000001,0.90538,2015-01-02 12:00:00+00:00,2015-01-02 19:30:00+00:00,92.97231999999788,0.8902864112521042,0,True
1000004_partial_1420227000,USD_CAD,buy,0.16,1.16445344,1.1753214330050235,2015-01-02 04:15:00+00:00,2015-01-02 19:30:00+00:00,173.88788808037603,1.1668685495566717,0,True
1000005_partial_1420234200,AUD_USD,sell,0.19,0.81697268,0.8093014745608923,2015-01-02 00:45:00+00:00,2015-01-02 21:30:00+00:00,145.75290334304648,0.8152679676801983,0,True
1000022_partial_1420235100,NZD_CAD,buy,0.17,0.9004867200000001,0.9066069052487377,2015-01-02 12:00:00+00:00,2015-01-02 21:45:00+00:00,104.04314922853897,0.8902864112521042,0,True
1000018,AUD_CHF,sell,0.25,0.81026,0.8252960627721215,2015-01-02 11:00:00+00:00,2015-01-04 22:00:00+00:00,-375.9015693030387,0.8252960627721215,0,
1000001_partial_1420408800,GBP_USD,sell,0.06,1.55531984,1.5303418050401385,2015-01-02 01:15:00+00:00,2015-01-04 22:00:00+00:00,149.86820975916837,1.5497691655644752,0,True
1000006_partial_1420408800,NZD_USD,sell,0.16,0.77817804,0.7692373267164939,2015-01-02 01:15:00+00:00,2015-01-04 22:00:00+00:00,143.05141253609756,0.7761912148258876,0,True
