time,open,high,low,close,volume
2015-01-01 22:00:00+00:00,1.04908,1.04918,1.04804,1.04836,312
2015-01-01 22:15:00+00:00,1.04837,1.04874,1.04746,1.04762,301
2015-01-01 22:30:00+00:00,1.04762,1.0482,1.04758,1.04807,474
2015-01-01 22:45:00+00:00,1.04809,1.04812,1.0475,1.04796,190
2015-01-01 23:00:00+00:00,1.04796,1.04909,1.04762,1.04889,845
2015-01-01 23:15:00+00:00,1.0489,1.04898,1.04812,1.04854,654
2015-01-01 23:30:00+00:00,1.04855,1.05002,1.04837,1.04934,1365
2015-01-01 23:45:00+00:00,1.04934,1.05006,1.04902,1.04969,1024
2015-01-02 00:00:00+00:00,1.04968,1.04982,1.04925,1.04939,665
2015-01-02 00:15:00+00:00,1.0494,1.04966,1.04922,1.04948,445
2015-01-02 00:30:00+00:00,1.04945,1.04945,1.04861,1.04872,511
2015-01-02 00:45:00+00:00,1.04874,1.04922,1.04858,1.04882,806
2015-01-02 01:00:00+00:00,1.04883,1.04884,1.04794,1.04809,815
2015-01-02 01:15:00+00:00,1.0481,1.04824,1.04687,1.0475,1813
2015-01-02 01:30:00+00:00,1.04751,1.04827,1.04682,1.04826,1761
2015-01-02 01:45:00+00:00,1.04826,1.04865,1.04768,1.04774,976
2015-01-02 02:00:00+00:00,1.04775,1.04784,1.04678,1.04726,1017
2015-01-02 02:15:00+00:00,1.04726,1.04788,1.04712,1.04778,699
2015-01-02 02:30:00+00:00,1.04779,1.04796,1.04759,1.04782,678
2015-01-02 02:45:00+00:00,1.04784,1.04815,1.04767,1.04768,682
2015-01-02 03:00:00+00:00,1.04768,1.04834,1.04757,1.04809,853
2015-01-02 03:15:00+00:00,1.0481,1.04874,1.04809,1.04862,1007
2015-01-02 03:30:00+00:00,1.04862,1.0488,1.04798,1.04798,734
2015-01-02 03:45:00+00:00,1.04798,1.0486,1.04789,1.04826,565
2015-01-02 04:00:00+00:00,1.04826,1.0484,1.04812,1.04832,210
2015-01-02 04:15:00+00:00,1.04832,1.04866,1.04826,1.04862,449
2015-01-02 04:30:00+00:00,1.04862,1.04942,1.0484,1.04914,884
2015-01-02 04:45:00+00:00,1.04912,1.04942,1.04908,1.04918,481
2015-01-02 05:00:00+00:00,1.0492,1.04928,1.0489,1.04894,266
2015-01-02 05:15:00+00:00,1.04894,1.04916,1.04876,1.04883,424
2015-01-02 05:30:00+00:00,1.04882,1.04918,1.04874,1.04905,557
2015-01-02 05:45:00+00:00,1.04904,1.04948,1.04896,1.04922,823
2015-01-02 06:00:00+00:00,1.04922,1.04934,1.04875,1.0488,455
2015-01-02 06:15:00+00:00,1.04881,1.04902,1.04868,1.04896,351
2015-01-02 06:30:00+00:00,1.04896,1.04936,1.04893,1.04925,307
2015-01-02 06:45:00+00:00,1.04924,1.04962,1.04922,1.04952,322
2015-01-02 07:00:00+00:00,1.04952,1.05007,1.0487,1.0499,1601
2015-01-02 07:15:00+00:00,1.0499,1.05022,1.04985,1.05013,615
2015-01-02 07:30:00+00:00,1.05013,1.05043,1.04918,1.04965,890
2015-01-02 07:45:00+00:00,1.04964,1.0497,1.04918,1.0495,787
2015-01-02 08:00:00+00:00,1.0495,1.0498,1.04847,1.04852,1076
2015-01-02 08:15:00+00:00,1.04852,1.04954,1.04839,1.04948,995
2015-01-02 08:30:00+00:00,1.04947,1.0504,1.04888,1.05024,1163
2015-01-02 08:45:00+00:00,1.05025,1.05058,1.0499,1.05009,946
2015-01-02 09:00:00+00:00,1.05007,1.0503,1.04941,1.04964,814
2015-01-02 09:15:00+00:00,1.04964,1.05067,1.04962,1.05048,547
2015-01-02 09:30:00+00:00,1.05046,1.05106,1.05038,1.05087,876
2015-01-02 09:45:00+00:00,1.05086,1.05114,1.0503,1.05088,896
2015-01-02 10:00:00+00:00,1.05086,1.05111,1.0505,1.05088,617
2015-01-02 10:15:00+00:00,1.05088,1.05114,1.05038,1.05082,1369
2015-01-02 10:30:00+00:00,1.05082,1.05092,1.0504,1.05076,844
2015-01-02 10:45:00+00:00,1.05074,1.05086,1.05018,1.05066,637
2015-01-02 11:00:00+00:00,1.05066,1.05074,1.04936,1.04942,986
2015-01-02 11:15:00+00:00,1.04946,1.05002,1.04928,1.04994,727
2015-01-02 11:30:00+00:00,1.04993,1.05016,1.04971,1.05008,605
2015-01-02 11:45:00+00:00,1.05007,1.05097,1.05004,1.05074,961
2015-01-02 12:00:00+00:00,1.05073,1.05158,1.05022,1.05117,1006
2015-01-02 12:15:00+00:00,1.05116,1.05203,1.05116,1.05174,651
2015-01-02 12:30:00+00:00,1.05175,1.0526,1.05171,1.05189,803
2015-01-02 12:45:00+00:00,1.05192,1.05257,1.0519,1.05236,674
2015-01-02 13:00:00+00:00,1.05234,1.05262,1.05159,1.05169,641
2015-01-02 13:15:00+00:00,1.05168,1.05226,1.05148,1.05201,796
2015-01-02 13:30:00+00:00,1.05201,1.05212,1.05138,1.0516,613
2015-01-02 13:45:00+00:00,1.05159,1.05185,1.05141,1.0517,541
2015-01-02 14:00:00+00:00,1.05172,1.0523,1.05151,1.05213,782
2015-01-02 14:15:00+00:00,1.0521,1.0524,1.05186,1.05228,770
2015-01-02 14:30:00+00:00,1.05229,1.05242,1.05202,1.05238,773
2015-01-02 14:45:00+00:00,1.05238,1.05242,1.05207,1.05232,752
2015-01-02 15:00:00+00:00,1.0524,1.0524,1.05155,1.05172,1712
2015-01-02 15:15:00+00:00,1.05172,1.05186,1.05075,1.05108,1177
2015-01-02 15:30:00+00:00,1.0511,1.05129,1.05078,1.05097,1283
