time,Open,High,Low,Close,Volume
2022-01-02 22:00:00+00:00,78.687,78.702,78.245,78.373,1427
2022-01-03 02:00:00+00:00,78.368,78.668,78.165,78.598,2645
2022-01-03 06:00:00+00:00,78.603,79.231,78.454,79.118,7439
2022-01-03 10:00:00+00:00,79.123,79.22,77.46,77.631,13149
2022-01-03 14:00:00+00:00,77.626,79.459,77.217,79.379,27810
2022-01-03 18:00:00+00:00,79.383,79.409,78.797,79.122,10501
2022-01-03 22:00:00+00:00,79.122,79.667,79.077,79.196,7202
2022-01-04 02:00:00+00:00,79.192,79.614,78.99,79.398,5279
2022-01-04 06:00:00+00:00,79.403,79.57,78.789,79.515,13202
2022-01-04 10:00:00+00:00,79.519,80.165,79.164,80.02,11234
2022-01-04 14:00:00+00:00,80.025,80.736,79.541,80.287,28581
2022-01-04 18:00:00+00:00,80.284,80.577,80.093,80.343,10380
2022-01-04 22:00:00+00:00,80.343,80.443,79.946,79.951,2381
2022-01-05 02:00:00+00:00,79.946,80.261,79.828,80.098,4863
2022-01-05 06:00:00+00:00,80.093,80.351,79.721,80.167,10747
2022-01-05 10:00:00+00:00,80.162,81.268,79.989,81.253,11315
2022-01-05 14:00:00+00:00,81.248,81.671,80.86,81.495,27862
2022-01-05 18:00:00+00:00,81.49,81.625,80.201,80.229,11969
2022-01-05 22:00:00+00:00,80.286,80.604,79.947,79.96,3870
2022-01-06 02:00:00+00:00,79.964,80.262,79.786,80.229,6533
2022-01-06 06:00:00+00:00,80.224,81.215,80.184,81.183,13848
2022-01-06 10:00:00+00:00,81.193,82.707,81.085,82.692,22024
2022-01-06 14:00:00+00:00,82.688,83.003,81.918,82.092,36147
2022-01-06 18:00:00+00:00,82.095,82.435,81.874,82.201,14253
2022-01-06 22:00:00+00:00,82.239,82.794,82.083,82.764,4566
2022-01-07 02:00:00+00:00,82.759,82.894,82.553,82.893,5401
2022-01-07 06:00:00+00:00,82.888,83.143,82.321,82.872,12109
2022-01-07 10:00:00+00:00,82.876,83.162,82.666,82.74,12167
2022-01-07 14:00:00+00:00,82.736,82.823,81.699,81.79,30757
2022-01-07 18:00:00+00:00,81.797,82.138,81.617,81.987,10530
2022-01-09 22:00:00+00:00,81.737,81.932,81.492,81.867,2905
2022-01-10 02:00:00+00:00,81.862,82.398,81.807,81.916,6052
2022-01-10 06:00:00+00:00,81.926,82.441,81.73,82.12,12435
2022-01-10 10:00:00+00:00,82.115,82.2,81.248,81.758,15582
2022-01-10 14:00:00+00:00,81.768,82.019,80.806,81.051,35165
2022-01-10 18:00:00+00:00,81.046,81.537,80.645,81.145,15810
2022-01-10 22:00:00+00:00,81.16,81.485,81.029,81.219,3300
2022-01-11 02:00:00+00:00,81.229,81.614,81.154,81.428,4704
2022-01-11 06:00:00+00:00,81.433,82.384,81.253,82.133,11491
2022-01-11 10:00:00+00:00,82.138,82.318,81.712,82.062,10206
2022-01-11 14:00:00+00:00,82.057,84.074,81.641,83.904,38624
2022-01-11 18:00:00+00:00,83.909,84.124,83.583,83.783,14134
2022-01-11 22:00:00+00:00,83.753,84.143,83.732,83.817,3789
2022-01-12 02:00:00+00:00,83.822,84.112,83.701,83.936,4651
2022-01-12 06:00:00+00:00,83.941,84.476,83.66,83.94,13329
2022-01-12 10:00:00+00:00,83.945,84.6,83.729,84.524,14691
2022-01-12 14:00:00+00:00,84.529,85.345,84.229,85.129,31241
2022-01-12 18:00:00+00:00,85.139,85.189,84.518,84.883,13665
2022-01-12 22:00:00+00:00,84.878,85.087,84.726,84.771,2051
2022-01-13 02:00:00+00:00,84.781,84.886,84.42,84.47,4456
2022-01-13 06:00:00+00:00,84.455,85.165,84.309,85.039,10504
2022-01-13 10:00:00+00:00,85.049,85.165,84.408,84.818,10834
2022-01-13 14:00:00+00:00,84.823,85.218,84.171,84.641,28986
2022-01-13 18:00:00+00:00,84.646,84.942,83.91,84.2,15309
2022-01-13 22:00:00+00:00,84.285,84.459,84.119,84.384,2709
2022-01-14 02:00:00+00:00,84.389,84.708,84.178,84.653,5343
2022-01-14 06:00:00+00:00,84.648,85.559,84.588,85.438,12870
2022-01-14 10:00:00+00:00,85.443,85.868,84.536,84.861,17052
2022-01-14 14:00:00+00:00,84.856,86.187,84.816,86.167,34774
2022-01-14 18:00:00+00:00,86.162,86.616,85.956,86.466,16043
2022-01-16 22:00:00+00:00,86.511,86.738,86.333,86.635,2678
2022-01-17 02:00:00+00:00,86.638,86.716,86.135,86.312,4414
2022-01-17 06:00:00+00:00,86.317,86.704,85.83,86.2,10058
2022-01-17 10:00:00+00:00,86.207,86.258,85.647,85.856,9102
2022-01-17 14:00:00+00:00,85.851,86.676,85.666,86.586,10878
2022-01-17 18:00:00+00:00,86.581,86.795,86.523,86.685,2725
2022-01-17 22:00:00+00:00,86.665,86.909,86.541,86.826,2230
2022-01-18 02:00:00+00:00,86.821,87.684,86.814,87.649,7356
2022-01-18 06:00:00+00:00,87.654,88.229,87.368,87.507,17923
2022-01-18 10:00:00+00:00,87.51,87.912,87.231,87.761,16414
2022-01-18 14:00:00+00:00,87.766,87.789,86.724,87.044,33767
2022-01-18 18:00:00+00:00,87.047,88.64,86.909,88.585,16141
2022-01-18 22:00:00+00:00,88.595,89.107,88.57,88.934,4402
2022-01-19 02:00:00+00:00,88.939,89.139,88.382,88.673,6711
2022-01-19 06:00:00+00:00,88.67,88.825,87.716,88.486,18449
2022-01-19 10:00:00+00:00,88.489,88.716,87.932,88.177,16145
2022-01-19 14:00:00+00:00,88.17,89.255,88.069,88.809,32269
2022-01-19 18:00:00+00:00,88.814,88.819,87.702,87.734,18703
2022-01-19 22:00:00+00:00,87.788,87.981,87.365,87.698,3801
2022-01-20 02:00:00+00:00,87.692,88.675,87.68,88.355,6641
2022-01-20 06:00:00+00:00,88.36,88.62,87.588,87.926,16338
2022-01-20 10:00:00+00:00,87.923,88.408,87.832,88.205,13648
2022-01-20 14:00:00+00:00,88.21,89.578,88.057,89.027,28803
2022-01-20 18:00:00+00:00,89.022,89.072,87.134,87.349,19769
2022-01-20 22:00:00+00:00,87.419,87.539,85.794,86.207,7561
2022-01-21 02:00:00+00:00,86.199,87.317,86.087,87.089,10714
2022-01-21 06:00:00+00:00,87.092,87.541,86.525,86.91,20341
2022-01-21 10:00:00+00:00,86.906,87.97,86.705,87.85,20853
2022-01-21 14:00:00+00:00,87.845,88.299,86.781,87.729,47776
2022-01-21 18:00:00+00:00,87.733,88.018,87.327,87.812,21475
2022-01-23 22:00:00+00:00,88.638,88.933,88.587,88.882,4039
2022-01-24 02:00:00+00:00,88.887,88.953,88.562,88.656,5840
2022-01-24 06:00:00+00:00,88.651,88.679,88.012,88.325,14176
2022-01-24 10:00:00+00:00,88.322,88.397,86.645,86.655,23935
2022-01-24 14:00:00+00:00,86.66,86.975,85.093,86.231,74869
2022-01-24 18:00:00+00:00,86.226,87.238,85.708,87.2,34758
2022-01-24 22:00:00+00:00,87.16,87.225,86.569,86.919,6053
2022-01-25 02:00:00+00:00,86.914,87.074,86.609,86.868,9268
2022-01-25 06:00:00+00:00,86.873,87.65,86.612,87.557,23688
2022-01-25 10:00:00+00:00,87.552,87.637,86.246,86.973,22032
2022-01-25 14:00:00+00:00,86.962,88.108,86.525,87.965,50930
2022-01-25 18:00:00+00:00,87.968,88.393,87.783,87.918,18953
2022-01-25 22:00:00+00:00,87.944,88.166,87.828,87.97,4784
2022-01-26 02:00:00+00:00,87.977,88.116,87.735,88.016,8746
2022-01-26 06:00:00+00:00,88.013,88.876,87.955,88.876,15141
2022-01-26 10:00:00+00:00,88.873,89.827,88.681,89.556,13868
2022-01-26 14:00:00+00:00,89.561,90.312,89.097,90.193,31003
2022-01-26 18:00:00+00:00,90.19,90.226,88.806,89.56,39967
2022-01-26 22:00:00+00:00,89.556,89.676,89.214,89.242,7050
2022-01-27 02:00:00+00:00,89.247,89.367,88.797,89.098,13315
2022-01-27 06:00:00+00:00,89.093,89.848,88.955,89.818,20247
2022-01-27 10:00:00+00:00,89.813,90.741,89.673,90.576,21419
2022-01-27 14:00:00+00:00,90.579,90.751,89.037,89.623,49762
2022-01-27 18:00:00+00:00,89.618,89.881,88.814,89.757,29267
2022-01-27 22:00:00+00:00,89.684,89.9,89.203,89.466,5815
2022-01-28 02:00:00+00:00,89.461,89.843,89.349,89.815,11901
2022-01-28 06:00:00+00:00,89.812,89.959,89.189,89.542,22189
2022-01-28 10:00:00+00:00,89.539,90.699,89.152,90.628,24619
2022-01-28 14:00:00+00:00,90.631,91.258,89.122,89.592,53904
2022-01-28 18:00:00+00:00,89.597,90.049,89.186,89.991,26443
2022-01-30 22:00:00+00:00,90.48,90.717,90.475,90.539,1799
2022-01-31 02:00:00+00:00,90.542,90.655,90.27,90.403,5108
2022-01-31 06:00:00+00:00,90.408,90.543,89.832,90.004,10403
2022-01-31 10:00:00+00:00,90.001,90.387,89.491,90.11,16826
2022-01-31 14:00:00+00:00,90.105,90.253,88.956,90.16,32003
2022-01-31 18:00:00+00:00,90.167,90.404,89.793,90.137,12368
2022-01-31 22:00:00+00:00,90.104,90.57,90.102,90.185,1402
2022-02-01 02:00:00+00:00,90.182,90.542,90.182,90.427,2714
2022-02-01 06:00:00+00:00,90.432,90.483,89.001,89.195,12827
2022-02-01 10:00:00+00:00,89.198,90.221,88.978,89.2,16014
2022-02-01 14:00:00+00:00,89.205,90.822,88.554,90.035,39995
2022-02-01 18:00:00+00:00,90.038,90.281,89.583,90.197,12817
2022-02-01 22:00:00+00:00,90.192,90.462,90.153,90.371,1760
2022-02-02 02:00:00+00:00,90.368,90.401,90.102,90.262,2824
2022-02-02 06:00:00+00:00,90.267,90.512,89.671,89.949,11651
2022-02-02 10:00:00+00:00,89.946,91.355,89.495,90.978,18847
2022-02-02 14:00:00+00:00,90.973,91.026,89.103,89.633,46953
2022-02-02 18:00:00+00:00,89.628,90.462,89.618,90.105,13783
2022-02-02 22:00:00+00:00,90.128,90.162,89.769,89.827,1541
2022-02-03 02:00:00+00:00,89.83,90.127,89.764,89.91,2291
2022-02-03 06:00:00+00:00,89.913,90.291,89.315,89.466,10759
2022-02-03 10:00:00+00:00,89.461,89.615,88.799,89.481,15528
2022-02-03 14:00:00+00:00,89.476,90.874,89.439,90.641,34829
2022-02-03 18:00:00+00:00,90.646,92.104,90.459,91.806,21541
2022-02-03 22:00:00+00:00,91.768,92.384,91.715,92.219,2246
2022-02-04 02:00:00+00:00,92.224,92.438,92.221,92.221,3457
2022-02-04 06:00:00+00:00,92.216,93.46,92.086,93.106,13761
2022-02-04 10:00:00+00:00,93.109,93.85,92.928,93.752,22397
2022-02-04 14:00:00+00:00,93.756,94.491,93.204,93.92,38707
2022-02-04 18:00:00+00:00,93.927,94.303,93.529,93.572,15993
2022-02-06 22:00:00+00:00,93.447,94.714,93.444,94.567,8825
2022-02-07 02:00:00+00:00,94.56,94.587,93.608,94.148,9875
2022-02-07 06:00:00+00:00,94.143,94.419,92.823,93.1,20382
2022-02-07 10:00:00+00:00,93.095,94.177,92.875,94.072,19869
2022-02-07 14:00:00+00:00,94.067,94.067,93.244,93.351,34282
2022-02-07 18:00:00+00:00,93.348,93.678,93.229,93.635,12880
2022-02-07 22:00:00+00:00,93.649,93.665,92.837,93.164,4330
2022-02-08 02:00:00+00:00,93.169,93.602,92.999,93.44,5039
2022-02-08 06:00:00+00:00,93.435,93.533,92.395,92.614,15023
2022-02-08 10:00:00+00:00,92.609,92.612,90.828,91.589,26353
2022-02-08 14:00:00+00:00,91.584,92.17,90.571,91.661,35789
2022-02-08 18:00:00+00:00,91.664,92.007,91.118,91.84,16533
2022-02-08 22:00:00+00:00,91.872,91.964,91.563,91.571,2658
2022-02-09 02:00:00+00:00,91.576,91.874,91.496,91.565,5123
2022-02-09 06:00:00+00:00,91.56,91.808,90.669,91.082,16291
2022-02-09 10:00:00+00:00,91.079,91.628,90.675,91.489,16838
2022-02-09 14:00:00+00:00,91.492,92.699,91.419,91.809,32247
2022-02-09 18:00:00+00:00,91.806,92.499,91.63,92.324,12517
2022-02-09 22:00:00+00:00,92.334,92.465,91.914,92.173,2922
2022-02-10 02:00:00+00:00,92.168,92.195,91.71,91.815,4717
2022-02-10 06:00:00+00:00,91.818,92.691,91.713,92.296,12704
2022-02-10 10:00:00+00:00,92.293,93.059,91.935,92.393,20396
2022-02-10 14:00:00+00:00,92.389,93.678,91.472,92.841,39213
2022-02-10 18:00:00+00:00,92.836,92.876,91.505,91.96,24603
2022-02-10 22:00:00+00:00,92.004,92.101,91.374,91.532,4138
2022-02-11 02:00:00+00:00,91.537,92.039,91.316,91.381,6650
2022-02-11 06:00:00+00:00,91.376,92.443,91.084,92.377,17068
2022-02-11 10:00:00+00:00,92.374,93.309,92.16,93.073,19852
2022-02-11 14:00:00+00:00,93.068,94.157,92.633,93.88,30142
2022-02-11 18:00:00+00:00,93.887,96.238,93.716,95.539,49141
2022-02-13 22:00:00+00:00,96.218,96.594,95.78,96.234,7673
2022-02-14 02:00:00+00:00,96.239,96.496,95.906,96.07,8304
2022-02-14 06:00:00+00:00,96.065,96.329,94.205,94.62,30220
2022-02-14 10:00:00+00:00,94.625,95.31,93.956,94.373,31692
2022-02-14 14:00:00+00:00,94.376,95.687,93.965,95.506,40491
2022-02-14 18:00:00+00:00,95.51,97.25,95.324,96.271,32697
2022-02-14 22:00:00+00:00,96.163,96.693,95.997,96.665,4710
2022-02-15 02:00:00+00:00,96.668,96.728,96.148,96.494,6682
2022-02-15 06:00:00+00:00,96.491,96.554,94.254,94.624,30981
2022-02-15 10:00:00+00:00,94.62,94.815,93.504,94.442,29603
2022-02-15 14:00:00+00:00,94.445,94.448,92.495,93.762,43208
2022-02-15 18:00:00+00:00,93.765,93.88,93.204,93.847,16154
2022-02-15 22:00:00+00:00,93.843,94.019,93.174,93.367,4435
2022-02-16 02:00:00+00:00,93.372,93.957,93.324,93.824,5322
2022-02-16 06:00:00+00:00,93.821,95.0,93.663,94.205,18389
2022-02-16 10:00:00+00:00,94.2,95.342,94.182,95.319,22802
2022-02-16 14:00:00+00:00,95.315,96.481,94.927,95.831,33427
2022-02-16 18:00:00+00:00,95.826,95.851,91.503,92.185,39142
2022-02-16 22:00:00+00:00,92.134,93.235,91.959,93.094,5616
2022-02-17 02:00:00+00:00,93.089,94.881,92.947,93.801,18697
2022-02-17 06:00:00+00:00,93.799,94.866,93.479,93.6,29592
2022-02-17 10:00:00+00:00,93.595,94.765,92.976,94.17,27708
2022-02-17 14:00:00+00:00,94.165,94.262,92.513,92.919,54042
2022-02-17 18:00:00+00:00,92.926,93.542,92.582,93.323,17596
2022-02-17 22:00:00+00:00,93.292,93.311,92.56,92.896,5293
2022-02-18 02:00:00+00:00,92.898,93.066,92.453,93.036,7090
2022-02-18 06:00:00+00:00,93.033,93.191,91.48,91.623,19974
2022-02-18 10:00:00+00:00,91.62,91.867,90.583,91.507,28868
2022-02-18 14:00:00+00:00,91.502,94.332,91.135,93.376,51164
2022-02-18 18:00:00+00:00,93.371,94.47,93.21,94.018,25987
2022-02-20 22:00:00+00:00,94.424,94.519,92.814,93.095,11295
2022-02-21 02:00:00+00:00,93.1,93.989,92.858,93.157,11387
2022-02-21 06:00:00+00:00,93.15,94.432,93.056,94.076,18086
2022-02-21 10:00:00+00:00,94.072,94.757,93.592,94.612,21188
2022-02-21 14:00:00+00:00,94.608,95.735,94.351,95.73,24099
2022-02-21 18:00:00+00:00,95.727,97.433,95.387,97.258,15224
2022-02-21 22:00:00+00:00,97.298,97.882,97.043,97.282,9403
2022-02-22 02:00:00+00:00,97.285,97.638,96.839,97.54,11182
2022-02-22 06:00:00+00:00,97.54,99.672,97.38,98.965,32960
2022-02-22 10:00:00+00:00,98.97,99.255,97.324,97.689,27716
2022-02-22 14:00:00+00:00,97.698,98.337,96.018,97.192,54167
2022-02-22 18:00:00+00:00,97.192,97.24,96.089,96.486,43142
2022-02-22 22:00:00+00:00,96.433,97.114,96.312,96.882,5868
2022-02-23 02:00:00+00:00,96.88,97.36,96.852,96.998,8582
2022-02-23 06:00:00+00:00,96.995,97.25,95.815,95.946,28940
2022-02-23 10:00:00+00:00,95.948,97.071,95.915,96.964,28663
2022-02-23 14:00:00+00:00,96.962,98.795,96.616,97.066,66710
2022-02-23 18:00:00+00:00,97.071,97.427,96.346,97.349,41091
