time,open,high,low,close,volume
2015-01-01 22:00:00+00:00,186.594,186.673,186.565,186.673,78
2015-01-01 22:15:00+00:00,186.677,186.698,186.656,186.694,87
2015-01-01 22:30:00+00:00,186.69,186.69,186.666,186.686,24
2015-01-01 22:45:00+00:00,186.684,186.71,186.566,186.692,309
2015-01-01 23:00:00+00:00,186.696,186.748,186.607,186.723,340
2015-01-01 23:15:00+00:00,186.719,186.776,186.634,186.678,508
2015-01-01 23:30:00+00:00,186.675,186.86,186.654,186.754,486
2015-01-01 23:45:00+00:00,186.758,186.792,186.72,186.778,322
2015-01-02 00:00:00+00:00,186.776,186.82,186.706,186.729,279
2015-01-02 00:15:00+00:00,186.732,186.766,186.71,186.71,156
2015-01-02 00:30:00+00:00,186.707,186.771,186.68,186.756,309
2015-01-02 00:45:00+00:00,186.759,186.886,186.74,186.884,402
2015-01-02 01:00:00+00:00,186.888,186.947,186.866,186.906,315
2015-01-02 01:15:00+00:00,186.904,187.122,186.87,187.051,658
2015-01-02 01:30:00+00:00,187.053,187.225,187.019,187.16,1042
2015-01-02 01:45:00+00:00,187.157,187.227,187.073,187.073,406
2015-01-02 02:00:00+00:00,187.07,187.154,187.047,187.154,267
2015-01-02 02:15:00+00:00,187.156,187.205,187.106,187.203,648
2015-01-02 02:30:00+00:00,187.2,187.231,187.109,187.13,416
2015-01-02 02:45:00+00:00,187.128,187.14,187.052,187.107,317
2015-01-02 03:00:00+00:00,187.104,187.11,187.048,187.062,169
2015-01-02 03:15:00+00:00,187.064,187.105,186.984,186.992,243
2015-01-02 03:30:00+00:00,186.99,187.177,186.964,187.171,312
2015-01-02 03:45:00+00:00,187.174,187.252,187.154,187.166,271
2015-01-02 04:00:00+00:00,187.17,187.298,187.166,187.272,248
2015-01-02 04:15:00+00:00,187.27,187.304,187.232,187.254,160
2015-01-02 04:30:00+00:00,187.257,187.27,187.203,187.26,356
2015-01-02 04:45:00+00:00,187.258,187.303,187.22,187.22,317
2015-01-02 05:00:00+00:00,187.217,187.252,187.197,187.226,204
2015-01-02 05:15:00+00:00,187.222,187.23,187.138,187.182,140
2015-01-02 05:30:00+00:00,187.184,187.226,187.184,187.209,101
