time,open,high,low,close,volume
2015-01-01 22:00:00+00:00,57.957,58.376,55.337,56.256,88491
2015-01-04 22:00:00+00:00,55.779,55.997,52.566,52.942,97221
2015-01-05 22:00:00+00:00,52.947,53.493,50.439,50.983,111046
2015-01-06 22:00:00+00:00,50.987,51.75,49.592,51.014,105597
2015-01-07 22:00:00+00:00,51.008,51.814,49.855,51.08,79125
2015-01-08 22:00:00+00:00,51.084,51.421,49.085,50.204,86655
2015-01-11 22:00:00+00:00,49.664,49.766,47.551,47.572,54741
2015-01-12 22:00:00+00:00,47.578,47.638,45.556,47.208,81673
2015-01-13 22:00:00+00:00,47.202,49.485,45.957,48.954,81404
2015-01-14 22:00:00+00:00,48.952,51.522,47.27,47.47,126974
2015-01-15 22:00:00+00:00,47.47,49.524,47.278,49.17,91749
2015-01-18 22:00:00+00:00,49.242,49.592,47.996,48.093,41242
2015-01-19 22:00:00+00:00,48.176,48.774,47.113,47.485,84829
2015-01-20 22:00:00+00:00,47.48,48.921,47.47,48.1,78485
2015-01-21 22:00:00+00:00,48.094,49.787,47.417,48.201,108922
2015-01-22 22:00:00+00:00,48.197,49.163,47.983,48.032,68465
2015-01-25 22:00:00+00:00,47.889,48.754,47.057,47.592,75135
2015-01-26 22:00:00+00:00,47.589,49.484,47.203,48.773,80748
2015-01-27 22:00:00+00:00,48.767,49.24,47.865,48.098,79865
2015-01-28 22:00:00+00:00,48.103,48.812,47.932,48.607,61950
2015-01-29 22:00:00+00:00,48.604,52.639,48.349,51.992,100337
2015-02-01 22:00:00+00:00,51.565,55.126,51.061,54.766,121914
2015-02-02 22:00:00+00:00,54.772,58.631,54.504,56.672,119561
2015-02-03 22:00:00+00:00,56.679,57.728,53.21,54.223,115639
2015-02-04 22:00:00+00:00,54.228,57.573,52.804,56.295,117316
2015-02-05 22:00:00+00:00,56.29,58.768,56.285,57.85,100056
2015-02-08 22:00:00+00:00,57.964,59.435,57.279,57.974,90085
2015-02-09 22:00:00+00:00,57.966,58.572,56.229,57.122,98528
2015-02-10 22:00:00+00:00,57.128,57.235,54.258,55.526,101609
2015-02-11 22:00:00+00:00,55.522,58.966,55.161,58.294,115093
2015-02-12 22:00:00+00:00,58.29,60.8,58.152,60.552,105844
2015-02-15 22:00:00+00:00,60.738,61.648,59.859,60.601,44842
2015-02-16 22:00:00+00:00,60.742,62.141,59.454,61.396,104764
