time,open,high,low,close,volume
2014-12-31 22:00:00+00:00,53.69,55.01,43.214,47.352,2221834
2015-01-31 22:00:00+00:00,47.38,53.98,46.328,48.848,2157668
2015-02-28 22:00:00+00:00,48.95,51.964,42.708,46.746,1454446
2015-03-31 21:00:00+00:00,46.74,58.502,46.202,58.468,1487607
2015-04-30 21:00:00+00:00,58.464,61.568,55.644,59.432,1078678
2015-05-31 21:00:00+00:00,59.492,61.362,56.246,58.584,1451832
2015-06-30 21:00:00+00:00,58.58,58.644,46.372,46.526,1178258
2015-07-31 21:00:00+00:00,46.539,48.832,37.257,47.576,1683080
2015-08-31 21:00:00+00:00,47.572,48.39,42.82,44.962,2199707
2015-09-30 21:00:00+00:00,45.0,50.68,42.21,46.038,2170840
2015-10-31 21:00:00+00:00,46.088,48.054,39.496,40.976,1106791
2015-11-30 22:00:00+00:00,40.967,41.534,34.088,36.64,969720
2015-12-31 22:00:00+00:00,36.228,37.638,26.614,32.904,1222451
2016-01-31 22:00:00+00:00,32.906,33.394,25.754,32.358,1418808
2016-02-29 22:00:00+00:00,32.358,40.826,31.9,37.004,1090306
2016-03-31 21:00:00+00:00,37.008,45.602,34.426,44.888,1199214
2016-04-30 21:00:00+00:00,44.888,49.626,42.4,48.398,1255219
2016-05-31 21:00:00+00:00,48.31,51.366,45.372,47.938,1085735
2016-06-30 21:00:00+00:00,47.942,48.992,40.102,40.966,937615
2016-07-31 21:00:00+00:00,40.832,48.588,38.851,44.396,953762
2016-08-31 21:00:00+00:00,44.404,47.844,42.462,47.6,1140594
2016-09-30 21:00:00+00:00,47.62,51.732,46.35,46.47,845654
2016-10-31 21:00:00+00:00,46.482,49.47,42.11,48.581,1238315
2016-11-30 22:00:00+00:00,48.615,54.294,48.582,53.15,881298
2016-12-31 22:00:00+00:00,53.538,54.598,50.38,52.248,824595
2017-01-31 22:00:00+00:00,52.218,54.496,50.878,53.6,614588
2017-02-28 22:00:00+00:00,53.592,54.06,46.526,50.396,761864
2017-03-31 21:00:00+00:00,50.336,53.576,47.884,48.9,541304
2017-04-30 21:00:00+00:00,48.88,51.656,43.552,48.406,976027
2017-05-31 21:00:00+00:00,48.376,48.932,41.838,46.16,950927
2017-06-30 21:00:00+00:00,46.162,50.268,43.564,50.059,1000525
2017-07-31 21:00:00+00:00,50.054,50.291,45.486,46.984,1089217
2017-08-31 21:00:00+00:00,46.965,52.487,46.464,51.296,578267
2017-09-30 21:00:00+00:00,51.337,54.627,48.878,54.418,621723
2017-10-31 21:00:00+00:00,54.414,58.848,53.69,57.28,696171
2017-11-30 22:00:00+00:00,57.191,60.457,55.719,60.068,561400
2017-12-31 22:00:00+00:00,60.139,66.703,60.068,64.813,847920
2018-01-31 22:00:00+00:00,64.758,66.329,58.093,61.612,1963386
2018-02-28 22:00:00+00:00,61.635,66.479,60.003,64.858,1907683
2018-03-31 21:00:00+00:00,64.875,69.584,61.782,68.594,1912550
2018-04-30 21:00:00+00:00,68.591,72.867,65.777,67.078,2154783
2018-05-31 21:00:00+00:00,67.061,74.583,63.592,74.402,2120695
2018-06-30 21:00:00+00:00,73.7,75.365,67.277,69.013,2120389
2018-07-31 21:00:00+00:00,69.067,70.986,64.588,70.361,1478759
2018-08-31 21:00:00+00:00,70.329,73.935,67.158,73.701,1516357
2018-09-30 21:00:00+00:00,73.545,77.069,64.915,64.975,2544852
2018-10-31 21:00:00+00:00,64.99,65.482,49.328,50.632,3434703
2018-11-30 22:00:00+00:00,51.981,54.481,42.206,45.703,3145080
2018-12-31 22:00:00+00:00,45.649,55.181,44.233,53.833,2967998
2019-01-31 22:00:00+00:00,53.863,57.452,51.157,56.999,1952006
2019-02-28 22:00:00+00:00,56.93,60.491,54.37,59.966,1847405
2019-03-31 21:00:00+00:00,59.975,66.466,59.965,63.374,1744796
2019-04-30 21:00:00+00:00,63.334,63.846,52.978,53.252,2066063
2019-05-31 21:00:00+00:00,53.256,59.74,50.542,58.031,1983018
2019-06-30 21:00:00+00:00,59.528,60.862,54.731,57.836,1790700
2019-07-31 21:00:00+00:00,57.816,57.917,50.479,55.149,2109737
2019-08-31 21:00:00+00:00,54.997,63.379,52.85,54.28,1940517
2019-09-30 21:00:00+00:00,54.31,56.867,51.065,54.087,1378463
2019-10-31 21:00:00+00:00,54.068,58.658,54.018,55.405,1127639
2019-11-30 22:00:00+00:00,55.446,62.362,55.31,61.23,1044315
2019-12-31 22:00:00+00:00,61.449,65.657,50.969,51.589,2280066
2020-01-31 22:00:00+00:00,50.8,54.401,43.71,45.117,2267921
2020-02-29 22:00:00+00:00,43.502,48.52,19.121,20.009,3548853
2020-03-31 21:00:00+00:00,19.935,28.937,11.104,15.038,2734697
2020-04-30 21:00:00+00:00,14.979,30.084,14.316,29.797,1473353
2020-05-31 21:00:00+00:00,29.892,40.145,29.406,38.708,1794957
2020-06-30 21:00:00+00:00,38.774,42.101,37.974,40.176,1039830
2020-07-31 21:00:00+00:00,40.167,43.518,39.367,42.614,755376
2020-08-31 21:00:00+00:00,42.654,43.238,36.015,39.7,1153603
2020-09-30 21:00:00+00:00,39.763,41.596,34.746,35.587,1267124
2020-10-31 21:00:00+00:00,34.882,46.038,33.501,44.897,1296316
2020-11-30 22:00:00+00:00,44.907,49.201,43.763,48.295,1022259
2020-12-31 22:00:00+00:00,48.083,53.868,47.071,52.073,1174571
2021-01-31 22:00:00+00:00,52.005,63.83,51.598,61.639,1296717
2021-02-28 22:00:00+00:00,61.935,67.986,57.231,59.418,2570522
2021-03-31 21:00:00+00:00,59.45,65.419,57.613,63.431,1604213
2021-04-30 21:00:00+00:00,63.532,67.496,61.536,66.894,1525537
2021-05-31 21:00:00+00:00,66.989,74.697,66.874,73.68,1468642
2021-06-30 21:00:00+00:00,73.745,77.141,65.276,73.964,1906429
2021-07-31 21:00:00+00:00,74.005,74.098,62.019,68.69,2154911
2021-08-31 21:00:00+00:00,68.727,76.841,67.293,75.272,1855514
2021-09-30 21:00:00+00:00,75.244,85.896,74.364,83.604,2160145
2021-10-31 21:00:00+00:00,83.677,85.229,64.819,67.376,3499975
2021-11-30 22:00:00+00:00,67.481,77.647,62.778,75.655,3535577
2021-12-31 22:00:00+00:00,75.85,89.311,74.441,88.56,3443804
2022-01-31 22:00:00+00:00,88.585,102.221,86.95,97.221,4524547
2022-02-28 22:00:00+00:00,97.386,131.306,93.974,102.028,8047004
2022-03-31 21:00:00+00:00,102.324,109.875,93.308,104.611,4490973
2022-04-30 21:00:00+00:00,104.354,121.955,98.394,117.115,5106029
2022-05-31 21:00:00+00:00,117.375,124.415,103.534,107.462,3704105
2022-06-30 21:00:00+00:00,107.54,112.652,90.952,100.302,2257984
2022-07-31 21:00:00+00:00,100.384,100.44,86.176,89.279,2135272
2022-08-31 21:00:00+00:00,89.303,90.733,76.571,79.991,2208272
2022-09-30 21:00:00+00:00,81.614,93.794,81.448,86.726,1892569
2022-10-31 21:00:00+00:00,86.926,94.117,74.015,80.899,1900259
2022-11-30 22:00:00+00:00,80.898,83.734,70.309,80.582,1729119
2022-12-31 22:00:00+00:00,80.518,82.412,72.519,78.885,1422782
2023-01-31 22:00:00+00:00,78.92,80.555,72.155,76.697,1286537
2023-02-28 22:00:00+00:00,76.702,80.843,64.21,75.574,1729823
2023-03-31 21:00:00+00:00,81.258,83.478,73.945,76.65,939045
2023-04-30 21:00:00+00:00,76.64,76.695,63.668,67.559,1242642
2023-05-31 21:00:00+00:00,67.559,74.302,66.791,70.344,1166825
2023-06-30 21:00:00+00:00,70.388,82.045,69.613,81.799,865146
2023-07-31 21:00:00+00:00,81.789,84.924,77.991,83.897,992984
2023-08-31 21:00:00+00:00,83.881,95.501,83.776,91.178,921230
2023-09-30 21:00:00+00:00,91.254,92.242,81.648,82.275,1305195
2023-10-31 21:00:00+00:00,82.461,84.413,72.687,75.811,1044948
2023-11-30 22:00:00+00:00,75.805,76.947,67.819,71.242,866090
2023-12-31 22:00:00+00:00,71.619,79.25,69.204,75.811,1329734
2024-01-31 22:00:00+00:00,75.916,79.829,71.384,78.482,1153209
2024-02-29 22:00:00+00:00,78.487,83.545,76.885,83.434,886020
2024-03-31 21:00:00+00:00,83.616,87.895,81.378,81.96,1297734
2024-04-30 21:00:00+00:00,81.909,82.024,76.603,77.5,1023272
2024-05-31 21:00:00+00:00,76.915,83.021,72.73,81.795,822359
2024-06-30 21:00:00+00:00,81.78,84.74,75.416,79.41,1025749
2024-07-31 21:00:00+00:00,79.368,80.331,72.243,74.54,1481403
2024-08-31 21:00:00+00:00,74.205,75.188,65.65,69.115,1600390
2024-09-30 21:00:00+00:00,69.194,79.093,67.113,71.079,1862775
2024-10-31 21:00:00+00:00,71.038,73.267,66.855,68.338,1188228
2024-11-30 22:00:00+00:00,68.276,72.27,67.107,72.118,835181
2024-12-31 22:00:00+00:00,72.05,80.756,72.03,74.517,1291560
2025-01-31 22:00:00+00:00,75.438,75.821,68.627,70.221,889130
2025-02-28 22:00:00+00:00,70.277,72.067,65.396,71.608,859267
2025-03-31 21:00:00+00:00,71.618,72.485,55.232,58.504,1984730
2025-04-30 21:00:00+00:00,58.604,64.666,55.814,61.07,1067919
2025-05-31 21:00:00+00:00,61.868,78.436,61.818,65.779,1787850
2025-06-30 21:00:00+00:00,65.772,71.328,65.457,70.132,901536
2025-07-31 21:00:00+00:00,70.044,70.308,62.188,64.591,728080
2025-08-31 21:00:00+00:00,64.498,66.769,61.844,62.717,615661
2025-09-30 21:00:00+00:00,62.732,63.168,56.409,61.188,915375
2025-10-31 21:00:00+00:00,61.699,61.779,57.211,58.545,685159
2025-11-30 22:00:00+00:00,59.361,60.561,54.999,57.504,545434
2025-12-31 22:00:00+00:00,57.655,66.568,55.824,65.812,1062790
2026-01-31 22:00:00+00:00,63.731,67.916,61.183,67.399,1332801
2026-02-28 22:00:00+00:00,73.387,119.544,69.322,102.356,6560127
2026-03-31 21:00:00+00:00,102.576,118.292,81.936,107.707,4637926
2026-04-30 21:00:00+00:00,107.594,109.74,88.899,90.366,3686398
2026-05-31 21:00:00+00:00,91.314,99.286,69.476,70.848,2851928
2026-06-30 21:00:00+00:00,70.867,94.337,67.732,86.921,3358540
2026-07-31 21:00:00+00:00,79.338,88.644,74.6,86.941,2750983
