time,Open,High,Low,Close,Volume
2023-01-03,7451.70019531,7626.39990234,7448.70019531,7554.10009766,914070400
2023-01-04,7554.10009766,7609.29980469,7545.20019531,7585.20019531,753877000
2023-01-05,7585.20019531,7658.79980469,7564.70019531,7633.50000000,883850800
2023-01-06,7633.50000000,7700.79980469,7633.50000000,7699.50000000,813538800
2023-01-09,7699.50000000,7725.70019531,7688.70019531,7724.89990234,847858600
2023-01-10,7724.89990234,7724.89990234,7684.39990234,7694.50000000,933139900
2023-01-11,7694.50000000,7772.39990234,7694.39990234,7725.00000000,1041280000
2023-01-12,7725.00000000,7809.10009766,7724.60009766,7794.00000000,738395600
2023-01-13,7794.00000000,7865.00000000,7793.60009766,7844.10009766,754267100
2023-01-16,7844.10009766,7867.20019531,7841.89990234,7860.10009766,662559400
2023-01-17,7860.10009766,7875.60009766,7830.39990234,7851.00000000,992753700
2023-01-18,7851.00000000,7867.39990234,7824.70019531,7830.70019531,963849600
2023-01-19,7830.70019531,7830.79980469,7726.20019531,7747.29980469,732044900
2023-01-20,7747.29980469,7790.89990234,7747.29980469,7770.60009766,801110300
2023-01-23,7770.60009766,7811.20019531,7768.50000000,7784.70019531,562127700
2023-01-24,7784.70019531,7800.89990234,7741.79980469,7757.39990234,754271900
2023-01-25,7757.39990234,7773.60009766,7710.79980469,7744.89990234,717266400
2023-01-26,7744.89990234,7787.60009766,7744.89990234,7761.10009766,828610300
2023-01-27,7761.10009766,7777.39990234,7742.10009766,7765.20019531,709941200
2023-01-30,7765.20019531,7790.70019531,7718.29980469,7784.89990234,1123538000
2023-01-31,7784.89990234,7784.89990234,7708.29980469,7771.70019531,838335600
2023-02-01,7771.70019531,7798.50000000,7745.39990234,7761.10009766,924663100
2023-02-02,7761.10009766,7837.79980469,7758.50000000,7820.20019531,726760200
2023-02-03,7820.20019531,7906.60009766,7806.89990234,7901.79980469,713859100
2023-02-06,7901.79980469,7901.79980469,7808.39990234,7836.70019531,665926500
2023-02-07,7836.70019531,7890.79980469,7835.39990234,7864.70019531,777311900
2023-02-08,7864.70019531,7934.29980469,7864.70019531,7885.20019531,587150400
2023-02-09,7885.20019531,7949.60009766,7874.20019531,7911.20019531,1061015400
2023-02-10,7911.20019531,7913.29980469,7850.89990234,7882.50000000,974265500
2023-02-13,7882.50000000,7947.60009766,7881.89990234,7947.60009766,570125100
2023-02-14,7947.60009766,7996.39990234,7947.60009766,7953.89990234,697856100
2023-02-15,7953.89990234,8003.70019531,7921.29980469,7997.79980469,841595900
2023-02-16,7997.79980469,8047.10009766,7978.60009766,8012.50000000,731954200
2023-02-17,8012.50000000,8012.50000000,7957.70019531,8004.39990234,1270492000
2023-02-20,8004.39990234,8020.10009766,7995.50000000,8014.29980469,696068100
2023-02-21,8014.29980469,8014.39990234,7952.50000000,7977.79980469,889518400
2023-02-22,7977.79980469,7977.79980469,7879.00000000,7930.60009766,682684900
2023-02-23,7930.60009766,7935.60009766,7888.89990234,7907.70019531,974842600
2023-02-24,7907.70019531,7939.20019531,7870.39990234,7878.70019531,879172000
2023-02-27,7878.70019531,7950.00000000,7878.70019531,7935.10009766,755879000
2023-02-28,7935.10009766,7935.10009766,7854.79980469,7876.29980469,1246757900
2023-03-01,7876.29980469,7950.70019531,7874.29980469,7914.89990234,1202133000
2023-03-02,7914.89990234,7945.79980469,7875.00000000,7944.00000000,889732700
