time,Open,High,Low,Close,Volume
2022-01-02 22:00:00+00:00,75.85,76.235,75.699,75.819,7324
2022-01-03 02:00:00+00:00,75.809,76.108,75.618,76.018,5175
2022-01-03 06:00:00+00:00,76.008,76.527,75.827,76.402,14627
2022-01-03 10:00:00+00:00,76.407,76.487,74.692,74.872,27445
2022-01-03 14:00:00+00:00,74.862,76.624,74.441,76.504,44977
2022-01-03 18:00:00+00:00,76.514,76.544,75.902,76.162,17416
2022-01-03 22:00:00+00:00,76.181,76.736,76.04,76.27,11137
2022-01-04 02:00:00+00:00,76.26,76.609,76.069,76.439,8959
2022-01-04 06:00:00+00:00,76.449,76.668,75.857,76.608,23299
2022-01-04 10:00:00+00:00,76.603,77.257,76.226,77.027,24173
2022-01-04 14:00:00+00:00,77.022,77.798,76.476,77.316,50305
2022-01-04 18:00:00+00:00,77.311,77.586,77.084,77.359,15784
2022-01-04 22:00:00+00:00,77.334,77.418,76.952,76.967,6145
2022-01-05 02:00:00+00:00,76.962,77.191,76.791,77.035,8856
2022-01-05 06:00:00+00:00,77.04,77.28,76.668,77.079,19573
2022-01-05 10:00:00+00:00,77.074,78.204,76.908,78.169,22690
2022-01-05 14:00:00+00:00,78.164,78.689,77.738,78.568,47852
2022-01-05 18:00:00+00:00,78.558,78.729,77.164,77.344,20378
2022-01-05 22:00:00+00:00,77.334,77.684,77.132,77.162,7849
2022-01-06 02:00:00+00:00,77.167,77.342,76.87,77.271,10813
2022-01-06 06:00:00+00:00,77.276,78.331,77.221,78.301,23901
2022-01-06 10:00:00+00:00,78.311,80.093,78.211,80.008,42850
2022-01-06 14:00:00+00:00,80.003,80.393,79.321,79.49,57797
2022-01-06 18:00:00+00:00,79.5,79.94,79.219,79.809,22283
2022-01-06 22:00:00+00:00,79.758,80.273,79.607,80.253,7324
2022-01-07 02:00:00+00:00,80.248,80.417,80.017,80.386,9098
2022-01-07 06:00:00+00:00,80.376,80.586,79.764,80.365,22579
2022-01-07 10:00:00+00:00,80.37,80.615,80.003,80.097,22961
2022-01-07 14:00:00+00:00,80.092,80.188,78.769,78.879,49324
2022-01-07 18:00:00+00:00,78.889,79.299,78.658,79.077,18109
2022-01-09 22:00:00+00:00,79.041,79.217,78.475,78.915,8857
2022-01-10 02:00:00+00:00,78.91,79.425,78.855,79.049,8553
2022-01-10 06:00:00+00:00,79.054,79.558,78.857,79.232,21263
2022-01-10 10:00:00+00:00,79.237,79.312,78.27,78.88,28129
2022-01-10 14:00:00+00:00,78.875,79.16,77.938,78.358,57591
2022-01-10 18:00:00+00:00,78.353,78.768,77.956,78.541,22513
2022-01-10 22:00:00+00:00,78.571,78.875,78.47,78.615,6518
2022-01-11 02:00:00+00:00,78.625,79.024,78.564,78.868,6692
2022-01-11 06:00:00+00:00,78.873,79.763,78.702,79.492,19051
2022-01-11 10:00:00+00:00,79.502,79.661,79.06,79.511,18476
2022-01-11 14:00:00+00:00,79.521,81.681,78.97,81.481,58196
2022-01-11 18:00:00+00:00,81.486,81.61,81.01,81.389,21363
2022-01-11 22:00:00+00:00,81.449,81.788,81.309,81.458,6695
2022-01-12 02:00:00+00:00,81.463,81.738,81.297,81.516,7011
2022-01-12 06:00:00+00:00,81.511,82.085,81.255,81.594,22396
2022-01-12 10:00:00+00:00,81.589,82.353,81.384,82.243,25681
2022-01-12 14:00:00+00:00,82.253,83.183,81.893,82.962,49125
2022-01-12 18:00:00+00:00,82.972,83.092,82.461,82.86,19842
2022-01-12 22:00:00+00:00,82.89,83.019,82.658,82.698,4634
2022-01-13 02:00:00+00:00,82.703,82.808,82.376,82.376,6701
2022-01-13 06:00:00+00:00,82.351,82.975,82.231,82.845,18866
2022-01-13 10:00:00+00:00,82.85,82.95,82.118,82.453,20187
2022-01-13 14:00:00+00:00,82.463,82.963,81.941,82.356,42961
2022-01-13 18:00:00+00:00,82.351,82.551,81.469,81.754,20668
2022-01-13 22:00:00+00:00,81.788,81.958,81.657,81.847,6084
2022-01-14 02:00:00+00:00,81.852,82.106,81.647,82.07,8078
2022-01-14 06:00:00+00:00,82.065,82.915,81.995,82.764,22442
2022-01-14 10:00:00+00:00,82.769,83.384,81.832,82.252,30786
2022-01-14 14:00:00+00:00,82.257,84.192,82.212,84.172,54401
2022-01-14 18:00:00+00:00,84.162,84.486,83.771,84.35,21896
2022-01-16 22:00:00+00:00,84.434,84.761,84.236,84.543,9822
2022-01-17 02:00:00+00:00,84.548,84.608,84.073,84.212,7051
2022-01-17 06:00:00+00:00,84.217,84.554,83.796,84.138,17184
2022-01-17 10:00:00+00:00,84.144,84.199,83.613,83.823,15812
2022-01-17 14:00:00+00:00,83.818,84.435,83.581,84.369,18155
2022-01-17 18:00:00+00:00,84.354,84.5,84.293,84.414,2611
2022-01-17 22:00:00+00:00,84.366,84.58,84.218,84.55,5360
2022-01-18 02:00:00+00:00,84.545,85.264,84.53,85.222,12685
2022-01-18 06:00:00+00:00,85.217,85.81,84.987,85.133,30218
2022-01-18 10:00:00+00:00,85.138,85.649,84.844,85.437,29024
2022-01-18 14:00:00+00:00,85.442,85.617,84.559,84.86,52379
2022-01-18 18:00:00+00:00,84.855,86.62,84.719,86.535,27499
2022-01-18 22:00:00+00:00,86.554,87.03,86.458,86.854,9036
2022-01-19 02:00:00+00:00,86.859,87.05,86.302,86.559,10733
2022-01-19 06:00:00+00:00,86.554,86.715,85.71,86.485,30702
2022-01-19 10:00:00+00:00,86.48,86.767,85.782,86.089,28909
2022-01-19 14:00:00+00:00,86.094,87.422,85.953,86.826,52561
2022-01-19 18:00:00+00:00,86.831,86.836,85.615,85.64,29778
2022-01-19 22:00:00+00:00,85.659,85.894,85.345,85.652,9032
2022-01-20 02:00:00+00:00,85.647,86.696,85.632,86.414,11210
2022-01-20 06:00:00+00:00,86.409,86.615,85.692,86.059,27995
2022-01-20 10:00:00+00:00,86.054,86.491,85.794,86.297,24521
2022-01-20 14:00:00+00:00,86.292,87.72,86.116,86.888,49646
2022-01-20 18:00:00+00:00,86.893,86.934,84.791,85.088,33940
2022-01-20 22:00:00+00:00,85.389,85.51,83.368,83.821,18965
2022-01-21 02:00:00+00:00,83.816,84.855,83.7,84.649,19330
2022-01-21 06:00:00+00:00,84.644,85.055,84.062,84.51,35632
2022-01-21 10:00:00+00:00,84.505,85.886,84.298,85.715,39171
2022-01-21 14:00:00+00:00,85.705,86.146,84.39,85.556,77188
2022-01-21 18:00:00+00:00,85.551,85.781,84.935,85.402,30631
2022-01-23 22:00:00+00:00,85.576,86.631,85.299,86.565,15024
2022-01-24 02:00:00+00:00,86.57,86.64,86.242,86.33,8731
2022-01-24 06:00:00+00:00,86.32,86.351,85.683,85.97,24654
2022-01-24 10:00:00+00:00,85.965,86.034,84.151,84.171,45282
2022-01-24 14:00:00+00:00,84.176,84.493,82.418,83.755,127305
2022-01-24 18:00:00+00:00,83.745,84.668,83.15,84.597,59523
2022-01-24 22:00:00+00:00,84.657,84.757,83.951,84.272,12894
2022-01-25 02:00:00+00:00,84.267,84.403,83.97,84.219,14362
2022-01-25 06:00:00+00:00,84.229,85.051,83.971,84.92,41474
2022-01-25 10:00:00+00:00,84.915,85.001,83.49,84.284,40740
2022-01-25 14:00:00+00:00,84.279,85.866,83.73,85.669,90979
2022-01-25 18:00:00+00:00,85.674,86.221,85.545,85.661,29399
2022-01-25 22:00:00+00:00,85.761,85.986,85.623,85.753,11359
2022-01-26 02:00:00+00:00,85.748,85.904,85.511,85.821,11531
2022-01-26 06:00:00+00:00,85.816,86.637,85.76,86.632,27165
2022-01-26 10:00:00+00:00,86.637,87.711,86.41,87.399,28363
2022-01-26 14:00:00+00:00,87.404,88.457,86.79,88.306,64434
2022-01-26 18:00:00+00:00,88.316,88.376,86.795,87.674,69298
