symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
SPX500_USD,2,2,100.0,8.12,11372.28,4.062
AUD_CHF,2,2,100.0,7.9,11053.5,3.948
EUR_NZD,2,2,100.0,4.21,5894.02,2.105
EUR_USD,2,2,100.0,4.09,5729.33,2.046
NAS100_USD,1,1,100.0,4.07,5695.41,4.068
EUR_AUD,1,1,100.0,4.01,5617.86,4.013
NZD_CHF,1,1,100.0,4.0,5606.2,4.004
NZD_CAD,2,1,50.0,3.1,4336.76,1.549
GBP_USD,2,1,50.0,2.95,4135.59,1.477
CHF_JPY,1,1,100.0,0.17,237.09,0.169
EUR_GBP,1,1,100.0,0.1,138.62,0.099
AUD_JPY,2,1,50.0,-0.75,-1045.06,-0.373
GBP_CAD,1,0,0.0,-0.87,-1216.17,-0.869
GBP_CHF,2,1,50.0,-0.9,-1260.96,-0.45
CAD_JPY,2,1,50.0,-0.92,-1282.58,-0.458
EUR_CAD,1,0,0.0,-1.05,-1468.26,-1.049
AUD_USD,1,0,0.0,-1.07,-1491.88,-1.066
NZD_USD,1,0,0.0,-1.07,-1495.79,-1.068
AUD_CAD,1,0,0.0,-1.07,-1502.67,-1.073
NZD_JPY,2,0,0.0,-1.83,-2559.91,-0.914
GBP_JPY,2,0,0.0,-1.88,-2635.63,-0.941
EUR_JPY,2,0,0.0,-1.9,-2662.81,-0.951
USD_CHF,2,0,0.0,-2.17,-3033.71,-1.083
GBP_AUD,3,0,0.0,-3.1,-4346.99,-1.035
TOTAL,39,18,46.2,24.15,33814.21,0.619
