period,month,trades,wins,win_rate,profit_r,profit_usd
training,2023-01,101,48,47.5,2.19,2188.33
training,2023-02,64,31,48.4,2.86,2863.59
training,2023-03,87,48,55.2,22.74,22744.87
training,2023-04,58,34,58.6,14.46,14457.05
training,2023-05,74,37,50.0,8.42,8420.5
training,2023-06,60,33,55.0,12.52,12518.5
training,2023-07,107,45,42.1,-8.51,-8508.55
training,2023-08,65,31,47.7,0.92,920.95
training,2023-09,66,18,27.3,-31.1,-31096.92
training,2023-10,87,43,49.4,10.32,10317.93
training,2023-11,84,28,33.3,-27.61,-27613.97
training,2023-12,56,34,60.7,20.71,20708.61
training,2024-01,64,39,60.9,22.72,22715.96
training,2024-02,58,25,43.1,-2.37,-2371.86
training,2024-03,64,25,39.1,-9.41,-9411.23
training,2024-04,125,63,50.4,16.15,16147.43
training,2024-05,58,29,50.0,6.2,6202.65
training,2024-06,77,33,42.9,-6.68,-6677.36
training,2024-07,67,21,31.3,-22.22,-22220.23
training,2024-08,54,27,50.0,6.58,6577.94
training,2024-09,60,27,45.0,-3.77,-3767.77
training,TOTAL,1536,719,46.8,35.12,35116.42
validation,2024-10,53,30,56.6,10.97,10971.52
validation,2024-11,99,44,44.4,-4.01,-4011.66
validation,2024-12,68,32,47.1,-2.55,-2548.81
validation,2025-01,96,37,38.5,-14.73,-14727.93
validation,2025-02,76,38,50.0,5.02,5017.64
validation,2025-03,57,27,47.4,11.35,11345.96
validation,2025-04,96,62,64.6,51.82,51824.37
validation,2025-05,58,36,62.1,18.12,18124.46
validation,2025-06,47,25,53.2,12.84,12842.43
validation,2025-07,62,23,37.1,-11.86,-11857.54
validation,2025-08,75,50,66.7,32.66,32656.97
validation,2025-09,59,33,55.9,12.11,12112.79
validation,2025-10,85,46,54.1,15.21,15206.01
validation,2025-11,78,35,44.9,-4.53,-4532.21
validation,2025-12,13,9,69.2,4.8,4802.42
validation,TOTAL,1022,527,51.6,137.23,137226.41
final,2023-01,116,61,52.6,39.41,43353.53
final,2023-02,68,29,42.6,4.91,5399.36
final,2023-03,89,43,48.3,30.2,33221.06
final,2023-04,64,38,59.4,33.13,36442.55
final,2023-05,76,37,48.7,22.03,24231.95
final,2023-06,69,36,52.2,25.64,28208.92
final,2023-07,114,49,43.0,16.57,18232.32
final,2023-08,67,31,46.3,11.73,12907.96
final,2023-09,69,22,31.9,-14.82,-16305.5
final,2023-10,95,47,49.5,29.28,32204.18
final,2023-11,94,28,29.8,-27.34,-30077.85
final,2023-12,60,34,56.7,30.25,33277.62
final,2024-01,69,39,56.5,34.67,38135.05
final,2024-02,62,27,43.5,8.29,9124.31
final,2024-03,77,35,45.5,9.87,10851.79
final,2024-04,136,66,48.5,41.24,45361.51
final,2024-05,60,30,50.0,21.32,23449.06
final,2024-06,79,34,43.0,8.02,8825.98
final,2024-07,70,23,32.9,-9.47,-10419.94
final,2024-08,65,32,49.2,20.38,22413.14
final,2024-09,92,45,48.9,22.72,24988.87
final,2024-10,56,32,57.1,26.5,29144.67
final,2024-11,91,51,56.0,44.28,48711.22
final,2024-12,69,36,52.2,19.03,20930.31
final,2025-01,92,43,46.7,20.29,22319.48
final,2025-02,68,38,55.9,28.25,31073.78
final,2025-03,69,30,43.5,19.06,20960.87
final,2025-04,95,54,56.8,59.57,65526.03
final,2025-05,60,36,60.0,30.25,33278.08
final,2025-06,48,26,54.2,25.66,28229.76
final,2025-07,68,26,38.2,-0.84,-920.8
final,2025-08,77,45,58.4,39.89,43879.05
final,2025-09,65,35,53.8,25.83,28415.86
final,2025-10,88,47,53.4,35.73,39302.75
final,2025-11,76,34,44.7,9.57,10528.41
final,2025-12,13,10,76.9,10.91,12004.04
final,TOTAL,2726,1329,48.8,752.01,827209.39
