period,month,trades,wins,win_rate,profit_r,profit_usd
final,2023-01,12,6,50.0,3.01,904.5
final,2023-02,12,4,33.3,-1.82,-546.62
final,2023-03,80,36,45.0,16.67,4999.65
final,2023-04,64,38,59.4,31.82,9545.58
final,2023-05,76,37,48.7,20.6,6180.91
final,2023-06,69,36,52.2,24.35,7304.84
final,2023-07,114,49,43.0,14.61,4383.85
final,2023-08,67,31,46.3,10.56,3168.45
final,2023-09,69,22,31.9,-15.62,-4685.16
final,2023-10,95,47,49.5,27.37,8211.76
final,2023-11,21,7,33.3,-3.03,-909.71
final,2023-12,12,9,75.0,14.42,4325.04
final,2024-01,20,13,65.0,19.77,5930.25
final,2024-02,10,8,80.0,15.68,4703.64
final,2024-03,73,37,50.7,19.03,5710.33
final,2024-04,142,71,50.0,44.25,13275.55
final,2024-05,68,33,48.5,18.83,5650.45
final,2024-06,82,36,43.9,9.68,2903.66
final,2024-07,71,24,33.8,-9.09,-2726.65
final,2024-08,65,32,49.2,19.15,5744.57
final,2024-09,92,45,48.9,21.12,6334.55
final,2024-10,56,32,57.1,25.32,7596.35
final,2024-11,11,9,81.8,16.32,4894.71
final,2024-12,18,6,33.3,-2.16,-649.18
final,2025-01,22,11,50.0,6.25,1874.54
final,2025-02,11,4,36.4,-0.03,-8.75
final,2025-03,57,27,47.4,25.51,7654.41
final,2025-04,95,54,56.8,57.18,17154.34
final,2025-05,60,36,60.0,29.13,8738.94
final,2025-06,48,26,54.2,24.51,7352.22
final,2025-07,68,26,38.2,-1.89,-565.53
final,2025-08,77,45,58.4,38.15,11445.91
final,2025-09,65,35,53.8,24.54,7362.48
final,2025-10,88,47,53.4,33.93,10178.03
final,2025-11,13,3,23.1,-5.49,-1648.16
final,2025-12,5,5,100.0,7.2,2158.62
final,TOTAL,2008,987,49.2,579.83,173948.38
