symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl
GBP_JPY,bearish,2023-03-14T08:00:00,163.230992,2023-03-14T10:00:00,163.230992,0.2,182.96590620046868,0.8,0.20562760070106467,37.622840302098425
EUR_JPY,bullish,2023-03-14T01:00:00,143.533402,2023-03-15T09:00:00,143.533402,0.22,178.8944703752934,0.88,0.20508089882178082,36.68783877881161
XAG_USD,bearish,2023-03-13T12:00:00,21.393060123443604,2023-03-15T11:00:00,22.110151880754707,0.05,179.27293932777567,0.2,-1.0011156173416353,-179.47293932777566
EUR_GBP,bullish,2023-03-14T00:00:00,0.8817915399999999,2023-03-15T13:00:00,0.8728341099827468,0.16,179.14860034506262,0.64,-1.0035724532525918,-179.7886003450626
EUR_USD,bearish,2023-03-15T10:00:00,1.06367652,2023-03-15T16:00:00,1.0527540784857234,0.18,178.73086114270896,0.72,0.9509715966487416,169.96797239128648
EUR_NZD,bullish,2023-03-15T13:00:00,1.69902304,2023-03-16T04:00:00,1.7209046449609007,0.15,179.03131331646136,0.6,0.9516486309635697,170.37490421722035
USD_CHF,bullish,2023-03-15T10:00:00,0.92420972,2023-03-16T08:00:00,0.92420972,0.13,186.215132054812,0.52,0.2072075309118974,38.58517773151051
NZD_CAD,bullish,2023-03-15T22:00:00,0.84772966,2023-03-17T08:00:00,0.8559434883324422,0.32,179.21079998055407,1.28,0.9478575733151209,169.8663139814295
XAU_USD,bearish,2023-03-03T08:00:00,1845.6864301757807,2023-03-17T17:00:00,1966.0650319732056,0.01,120.37860179742484,0.04,-1.0003322849692782,-120.41860179742484
GBP_JPY,bullish,2023-03-16T16:00:00,161.996972,2023-03-20T07:00:00,159.3671723071758,0.1,175.40763951137464,0.4,-1.0022804023879135,-175.80763951137465
USD_CAD,bullish,2023-03-14T12:00:00,1.36717078,2023-03-20T13:00:00,1.36717078,0.17,181.19137001620413,0.68,0.20624706187751005,37.37018770340287
EUR_AUD,bullish,2023-03-15T13:00:00,1.5882891,2023-03-21T19:00:00,1.6148703593853815,0.11,172.77818600498085,0.44,0.9524533822227562,164.5631676347565
EUR_NZD,bullish,2023-03-20T14:00:00,1.71933652,2023-03-21T20:00:00,1.7385484263297015,0.18,188.6259894188895,0.72,0.9511829226066961,179.41781989503906
AUD_CAD,bearish,2023-03-17T07:00:00,0.92012356,2023-03-22T18:00:00,0.92012356,0.19,180.89673926139153,0.76,0.2057987081298253,37.22831524489222
GBP_AUD,bullish,2023-03-22T05:00:00,1.82649476,2023-03-22T18:00:00,1.82649476,0.21,194.65283109833393,0.84,0.20568462479964827,40.03709453065012
GBP_JPY,bearish,2023-03-22T10:00:00,163.230992,2023-03-22T20:00:00,161.20222491375813,0.15,184.5255881622709,0.6,0.9517484184390057,175.62193669496864
ETH_USD,bearish,2023-03-27T00:00:00,1775.4813232421875,2023-03-28T00:00:00,1775.4813232421875,1.75,193.7462093699711,0.0,0.20999999999999996,40.68670396769392
GBP_CHF,bearish,2023-03-23T00:00:00,1.12201386,2023-03-28T14:00:00,1.1348519958791343,0.15,192.57203818701439,0.6,-1.0031157171396676,-193.17203818701438
AUD_USD,bearish,2023-03-17T07:00:00,0.67222432,2023-03-31T00:00:00,0.67222432,0.15,186.7818458157022,0.6,0.20678769637713065,38.62418762129746
AUD_JPY,bearish,2023-03-29T01:00:00,88.201712,2023-03-31T01:00:00,89.68339266792215,0.2,197.65620110081463,0.8,-1.0040474318313544,-198.45620110081464
GBP_USD,bullish,2023-03-15T15:00:00,1.2033,2023-03-31T17:00:00,1.2340741749055046,0.06,167.85913584820642,0.24,0.9535702297418184,160.0654747350373
GBP_CAD,bearish,2023-03-31T11:00:00,1.67899236,2023-04-03T07:00:00,1.6643493549019706,0.19,189.6934751335636,0.76,0.950993536417293,180.3972687525535
NZD_USD,bearish,2023-03-22T07:00:00,0.62204,2023-04-04T23:00:00,0.6316230288840881,0.2,191.6605776817604,0.8,-1.0041740456471355,-192.4605776817604
NZD_CHF,bearish,2023-03-15T20:00:00,0.57766,2023-04-05T02:00:00,0.57766,0.14,185.0541399038601,0.56,0.20697385856760112,38.30136937981061
AUD_NZD,bullish,2023-03-28T00:00:00,1.07412,2023-04-05T02:00:00,1.064062076264047,0.32,193.11213573029843,1.28,-1.0331645075409144,-199.516604611968
AUD_CAD,bearish,2023-04-03T14:00:00,0.91191,2023-04-05T12:00:00,0.9009615857824206,0.26,194.08552476618135,1.04,0.9496415375322131,184.3116761517029
EUR_NZD,bullish,2023-04-05T02:00:00,1.72014562,2023-04-07T09:00:00,1.741339519083609,0.17,196.52524604801036,0.68,0.9515398847543788,187.0016099758497
BTC_USD,bearish,2023-04-07T00:00:00,27925.859375,2023-04-10T00:00:00,29650.292451792386,0.11,189.6876384471624,0.0,-1.0,-189.6876384471624
CHF_JPY,bearish,2023-03-29T20:00:00,144.610524,2023-04-11T14:00:00,147.52463741563008,0.1,194.3713648225266,0.4,-1.0020579163004038,-194.7713648225266
GBP_JPY,bullish,2023-03-27T06:00:00,161.538,2023-04-12T07:00:00,166.03554530283571,0.07,190.9003547176351,0.28,0.953533266214125,182.02983875534167
CAD_JPY,bullish,2023-03-28T00:00:00,96.178754,2023-04-12T12:00:00,99.09700272188586,0.11,194.6471897497872,0.44,0.9527394998583553,185.44806621104664
GBP_NZD,bullish,2023-04-05T00:00:00,1.97934,2023-04-13T03:00:00,2.008829062421095,0.12,196.48839548353098,0.48,0.9492900737617908,186.52448344189705
XAU_USD,bullish,2023-04-04T00:00:00,1997.4181662597653,2023-04-14T15:00:00,1997.4181662597653,0.03,185.1519591663423,0.12,0.20935188371465088,38.76191142493188
AUD_NZD,bearish,2023-04-11T06:00:00,1.07237964,2023-04-17T01:00:00,1.0821578859228522,0.34,199.4762168261838,1.36,-1.0068178553896732,-200.8362168261838
AUD_CAD,bearish,2023-04-13T17:00:00,0.90657652,2023-04-17T02:00:00,0.8961094862447943,0.29,206.96180379611272,1.16,0.9493951010344767,196.48852262528797
USD_CAD,bearish,2023-04-12T00:00:00,1.3437244000000002,2023-04-19T09:00:00,1.3437244000000002,0.18,201.41785842602243,0.72,0.2064253417962715,41.57775026946471
ETH_USD,bullish,2023-04-13T00:00:00,1917.6983642578125,2023-04-21T00:00:00,1917.6983642578125,1.12,200.95889346885144,0.0,0.20999999999999996,42.2013676284588
EUR_AUD,bullish,2023-04-20T05:00:00,1.63268562,2023-04-24T11:00:00,1.6473467242095385,0.24,207.92111424436635,0.96,0.950382864296927,197.6046641033695
AUD_CHF,bearish,2023-04-20T00:00:00,0.60114396,2023-04-24T14:00:00,0.5945001284623089,0.34,205.35479298317784,1.36,0.9483773155218698,194.7538272989355
GBP_AUD,bullish,2023-04-20T06:00:00,1.85111938,2023-04-25T11:00:00,1.8697133745478745,0.19,208.75984787840684,0.76,0.9513594531816177,198.60565472387884
EUR_CAD,bullish,2023-03-29T14:00:00,1.47034,2023-04-26T13:00:00,1.5111829973329798,0.13,199.10961199827656,0.52,1.2673883731941353,252.3492072378112
GBP_CAD,bullish,2023-04-19T06:00:00,1.67416,2023-04-26T14:00:00,1.7011163905916469,0.11,202.17292943735086,0.44,0.9528236453256897,192.6351476126701
BTC_USD,bullish,2023-04-20T00:00:00,28724.14877734375,2023-04-27T00:00:00,28724.14877734375,0.11,199.8988275747793,0.0,0.21,41.97875379070365
NZD_JPY,bearish,2023-03-29T20:00:00,82.696756,2023-04-28T04:00:00,82.696756,0.19,197.36953955275044,0.76,0.2061493551551967,40.68760330607759
CHF_JPY,bullish,2023-04-27T04:00:00,150.661782,2023-04-28T15:00:00,152.92058192405665,0.16,219.14466172302377,0.64,0.9520795546879045,208.64315194548794
GBP_CHF,bearish,2023-04-06T00:00:00,1.12422,2023-04-28T20:00:00,1.12422,0.1,206.20053040453004,0.4,0.20806014078035942,42.902111384951304
GBP_JPY,bullish,2023-04-27T13:00:00,167.94394,2023-05-01T07:00:00,171.47853461837818,0.1,214.32496458711307,0.4,0.9531336751844541,204.28034118069306
XAG_USD,bullish,2023-04-27T13:00:00,24.635528728485102,2023-05-01T13:00:00,25.70009441873619,0.05,241.94674778433802,0.2,0.9541733718190816,230.8591441340427
SPX500_USD,bullish,2023-03-17T00:00:00,3960.5,2023-05-02T00:00:00,4161.074427121159,0.1,182.34038829196243,0.0,0.9550000000000002,174.13507081882415
AUD_CAD,bearish,2023-04-20T06:00:00,0.90489,2023-05-02T04:00:00,0.90489,0.26,209.16838088445726,1.04,0.2050279291946401,42.88535998573602
AUD_JPY,bullish,2023-04-25T13:00:00,88.781588,2023-05-02T04:00:00,91.5287992505572,0.24,219.88678849459828,0.96,1.265634116962768,278.2962213881398
GBP_USD,bullish,2023-04-14T14:00:00,1.24542166,2023-05-02T09:00:00,1.24542166,0.14,208.72023011288388,0.56,0.20731698264371815,43.271248323705606
CAD_JPY,bullish,2023-04-25T09:00:00,98.621946,2023-05-02T14:00:00,100.40119755627484,0.2,215.7746887336948,0.8,0.9512924289002803,205.26482774067847
EUR_JPY,bullish,2023-03-21T09:00:00,143.533402,2023-05-03T10:00:00,149.53290800953582,0.05,181.8941140163813,0.2,0.9539004591980259,173.5088788856442
XAG_USD,bullish,2023-05-02T13:00:00,24.635528728485102,2023-05-03T23:00:00,25.692903814138916,0.05,240.31251946677568,0.2,0.9541677503925149,229.2984560907708
AUD_CHF,bearish,2023-05-02T04:00:00,0.5984556600000001,2023-05-04T01:00:00,0.589088475316991,0.28,238.43742829477455,1.12,0.9503027508809762,226.58774402150976
EUR_CHF,bearish,2023-04-26T16:00:00,0.98402,2023-05-04T15:00:00,0.9757465592754533,0.3,225.63929248763932,1.2,0.9496817773324372,214.28552432569495
EUR_AUD,bullish,2023-05-02T04:00:00,1.64418382,2023-05-04T17:00:00,1.64418382,0.15,234.71452378179535,0.6,0.20744370314059557,48.690049994177016
USD_CAD,bullish,2023-04-20T00:00:00,1.35154784,2023-05-05T01:00:00,1.35154784,0.11,209.6100127515506,0.44,0.20790086363612062,43.578102677825626
NZD_CHF,bearish,2023-04-28T17:00:00,0.55207868,2023-05-05T06:00:00,0.5589252110028391,0.34,232.78205409652773,1.36,-1.005842374771021,-234.14205409652774
AUD_JPY,bearish,2023-05-03T12:00:00,89.787908,2023-05-05T14:00:00,90.98607332193508,0.31,247.74464361651627,1.24,-1.0050051536206748,-248.98464361651628
EUR_NZD,bullish,2023-05-02T05:00:00,1.77371616,2023-05-08T06:00:00,1.7469204105185192,0.15,241.161745333327,0.6,-1.0024879567825764,-241.76174533332699
EUR_GBP,bullish,2023-03-21T10:00:00,0.8817915399999999,2023-05-09T13:00:00,0.8695300020259435,0.12,183.9230696108457,0.48,-1.0026097868038828,-184.40306961084568
AUD_NZD,bullish,2023-04-27T09:00:00,1.07557088,2023-05-11T06:00:00,1.062261645448602,0.28,223.5951404634843,1.12,-1.0050090534064309,-224.71514046348432
GBP_JPY,bullish,2023-05-04T15:00:00,168.191858,2023-05-11T13:00:00,168.191858,0.12,246.3623154744575,0.48,0.20805165007044363,51.25608624963607
XAG_USD,bullish,2023-05-05T13:00:00,25.367559894561765,2023-05-11T13:00:00,24.37234996026013,0.05,248.8024835754086,0.2,-1.0008038504966907,-249.00248357540858
BTC_USD,bullish,2023-05-10T00:00:00,27861.663390625,2023-05-12T00:00:00,26671.38645185891,0.21,249.95815714087854,0.0,-1.0,-249.95815714087854
XAU_USD,bullish,2023-05-05T13:00:00,2006.259403564453,2023-05-12T06:00:00,2006.259403564453,0.06,275.30960292327836,0.24,0.2091282541638517,57.575016613888444
NZD_CAD,bullish,2023-04-27T00:00:00,0.84014278,2023-05-12T11:00:00,0.84014278,0.17,221.9824478331899,0.68,0.20693669474033824,45.936314044969876
