symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl
BTC_USD,bearish,2023-01-10T00:00:00,17290.02958203125,2023-01-12T00:00:00,18449.91388729405,0.16,185.58148884204797,0.0,-1.0,-185.58148884204797
XAG_USD,bearish,2023-01-05T06:00:00,23.341060047149657,2023-01-16T01:00:00,24.43144316935612,0.03,163.55746833096916,0.12,-1.0007336870717343,-163.67746833096916
XAG_USD,bearish,2023-02-02T00:00:00,24.041,2023-02-03T14:00:00,22.57459658816004,0.05,184.46150254887252,0.2,1.2674408785672355,233.79404885237534
XAU_USD,bullish,2023-02-03T13:00:00,1895.398594238281,2023-02-03T14:00:00,1895.398594238281,0.06,191.51087241166988,0.24,0.2087468074424302,39.97728320645067
ETH_USD,bullish,2023-02-01T00:00:00,1616.492167724609,2023-02-06T00:00:00,1616.492167724609,1.36,177.194899545003,0.0,0.21,37.21092890445063
ETH_USD,bearish,2023-02-13T00:00:00,1487.5810412597657,2023-02-16T00:00:00,1703.2824555352638,0.84,181.1891879914184,0.0,-1.0,-181.1891879914184
BTC_USD,bullish,2023-01-30T00:00:00,23096.53470703125,2023-02-24T00:00:00,23096.53470703125,0.06,169.29022788622365,0.0,0.21,35.550947856106966
ETH_USD,bullish,2023-02-24T00:00:00,1616.492167724609,2023-03-09T00:00:00,1508.760237458867,1.67,179.9123235437891,0.0,-1.0,-179.9123235437891
SPX500_USD,bullish,2023-02-10T00:00:00,4068.919921875,2023-03-10T00:00:00,3873.141153036036,0.09,176.20089195506756,0.0,-1.0197987524868601,-179.68944980284994
XAU_USD,bearish,2023-02-09T00:00:00,1862.8517604980468,2023-03-10T15:00:00,1862.8517604980468,0.02,176.02772553703423,0.08,0.2095455261393855,36.88582236277718
NZD_JPY,bullish,2023-03-13T05:00:00,83.419926,2023-03-13T09:00:00,82.47589810863231,0.28,176.30664899183097,1.12,-1.006352568132878,-177.42664899183097
ETH_USD,bearish,2023-03-13T00:00:00,1608.9225998535155,2023-03-14T00:00:00,1756.5419155954312,1.2,177.1431788902988,0.0,-1.0,-177.1431788902988
BTC_USD,bearish,2023-03-14T00:00:00,24089.99389453125,2023-03-14T00:00:00,25447.462419324835,0.13,176.47090822316605,0.0,-1.0,-176.47090822316605
NZD_JPY,bullish,2023-03-14T05:00:00,83.419926,2023-03-15T09:00:00,83.419926,0.28,170.76883149554544,1.12,0.203441426106911,34.741454614064544
EUR_GBP,bullish,2023-03-13T18:00:00,0.8799350199999999,2023-03-15T10:00:00,0.8799350199999999,0.19,172.510696599565,0.76,0.20559447608188539,35.46724628590865
CAD_JPY,bullish,2023-03-14T13:00:00,98.711026,2023-03-15T10:00:00,97.29676354476688,0.18,169.7963503752894,0.72,-1.0042403738266967,-170.5163503752894
EUR_JPY,bullish,2023-03-15T11:00:00,141.620664,2023-03-15T13:00:00,139.66374440708245,0.13,169.68449790188143,0.52,-1.0030645109390057,-170.20449790188144
CHF_JPY,bullish,2023-03-15T13:00:00,143.428002,2023-03-15T16:00:00,143.428002,0.13,168.54904025925256,0.52,0.20691484449154873,34.87529845444303
EUR_NZD,bullish,2023-03-15T13:00:00,1.69902304,2023-03-16T04:00:00,1.7210064282495627,0.14,167.8731466330249,0.56,0.9516641478328627,159.75885503453884
GBP_CHF,bearish,2023-03-15T18:00:00,1.12415306,2023-03-16T14:00:00,1.12415306,0.17,172.20736664968683,0.68,0.2060512722932272,35.483546996434235
ETH_USD,bearish,2023-03-16T00:00:00,1619.7856650390625,2023-03-17T00:00:00,1756.7342631370368,1.26,172.55523360344768,0.0,-1.0,-172.55523360344768
BTC_USD,bearish,2023-03-16T00:00:00,24089.99389453125,2023-03-17T00:00:00,25429.63250075389,0.13,174.15301880894336,0.0,-1.0,-174.15301880894336
GBP_JPY,bullish,2023-03-15T12:00:00,160.403392,2023-03-17T12:00:00,160.403392,0.09,165.91051625360083,0.36,0.2078301556276895,34.48120841325617
CHF_JPY,bullish,2023-03-20T00:00:00,143.428002,2023-03-20T07:00:00,141.46809778980835,0.13,169.94329406571694,0.52,-1.0030598441842544,-170.46329406571695
USD_CAD,bullish,2023-03-14T12:00:00,1.36717078,2023-03-20T13:00:00,1.36717078,0.16,170.533054132898,0.64,0.20624706187751,35.17194136790857
