period,month,trades,wins,win_rate,profit_r,profit_usd
final,2023-01,125,66,52.8,25.22,9079.56
final,2023-02,72,37,51.4,10.67,3840.12
final,2023-03,100,46,46.0,26.25,9451.32
final,2023-04,62,41,66.1,32.29,11622.8
final,2023-05,87,48,55.2,44.42,15992.12
final,2023-06,71,40,56.3,33.6,12094.99
final,2023-07,109,55,50.5,29.55,10638.82
final,2023-08,67,38,56.7,21.81,7850.2
final,2023-09,67,22,32.8,-14.22,-5119.06
final,2023-10,85,46,54.1,32.63,11748.42
final,2023-11,93,31,33.3,-19.19,-6907.98
final,2023-12,59,38,64.4,46.31,16673.22
final,2024-01,74,43,58.1,36.14,13010.76
final,2024-02,64,31,48.4,7.46,2683.96
final,2024-03,79,43,54.4,22.52,8105.71
final,2024-04,140,77,55.0,55.37,19933.15
final,2024-05,74,40,54.1,28.87,10394.15
final,2024-06,77,38,49.4,17.97,6467.95
final,2024-07,72,25,34.7,5.41,1948.01
final,2024-08,69,38,55.1,17.06,6141.34
final,2024-09,83,46,55.4,44.84,16143.66
final,2024-10,59,36,61.0,24.29,8746.07
final,2024-11,94,53,56.4,52.63,18946.55
final,2024-12,69,37,53.6,19.77,7117.34
final,2025-01,97,50,51.5,22.57,8124.13
final,2025-02,73,42,57.5,48.84,17581.23
final,2025-03,69,35,50.7,19.64,7070.24
final,2025-04,97,53,54.6,66.56,23963.01
final,2025-05,62,42,67.7,34.47,12410.14
final,2025-06,44,20,45.5,20.67,7440.9
final,2025-07,60,30,50.0,4.68,1684.31
final,2025-08,68,43,63.2,48.11,17321.2
final,2025-09,52,24,46.2,13.1,4715.61
final,2025-10,85,45,52.9,38.46,13845.74
final,2025-11,71,37,52.1,8.94,3218.55
final,2025-12,10,7,70.0,10.92,3932.39
final,TOTAL,2739,1443,52.7,938.64,337910.64
