symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
GBP_JPY,84,56,66.7,60.65,21833.48,0.722
GBP_NZD,88,51,58.0,56.85,20464.87,0.646
USD_JPY,84,52,61.9,55.55,19997.94,0.661
USD_CAD,100,62,62.0,53.5,19259.68,0.535
NAS100_USD,68,40,58.8,50.42,18149.71,0.741
XAU_USD,64,35,54.7,48.66,17518.27,0.76
AUD_JPY,81,53,65.4,47.45,17081.59,0.586
CHF_JPY,79,48,60.8,44.26,15933.0,0.56
EUR_USD,89,53,59.6,39.35,14167.16,0.442
USD_CHF,79,46,58.2,39.18,14103.11,0.496
SPX500_USD,67,38,56.7,38.34,13802.05,0.572
BTC_USD,129,56,43.4,37.95,13663.8,0.294
GBP_AUD,80,45,56.2,35.0,12599.39,0.437
GBP_CAD,65,36,55.4,34.92,12572.84,0.537
ETH_USD,119,54,45.4,34.58,12447.99,0.291
EUR_NZD,85,44,51.8,30.99,11157.31,0.365
EUR_JPY,83,41,49.4,29.5,10620.49,0.355
AUD_CAD,98,53,54.1,28.81,10370.54,0.294
NZD_CHF,66,34,51.5,28.16,10136.45,0.427
CAD_JPY,84,47,56.0,26.67,9601.34,0.318
EUR_CAD,62,35,56.5,24.51,8822.97,0.395
GBP_USD,80,43,53.8,23.11,8320.95,0.289
EUR_GBP,77,40,51.9,19.56,7039.9,0.254
AUD_USD,99,56,56.6,17.71,6377.02,0.179
GBP_CHF,59,36,61.0,16.73,6022.32,0.284
XAG_USD,58,27,46.6,16.26,5852.51,0.28
AUD_CHF,49,25,51.0,15.58,5609.91,0.318
EUR_CHF,84,41,48.8,9.65,3475.45,0.115
NZD_CAD,98,47,48.0,4.52,1628.91,0.046
AUD_NZD,71,27,38.0,1.95,702.29,0.027
CAD_CHF,69,30,43.5,-1.14,-411.03,-0.017
NZD_USD,93,37,39.8,-4.78,-1721.99,-0.051
EUR_AUD,74,27,36.5,-11.76,-4234.83,-0.159
NZD_JPY,74,28,37.8,-14.04,-5054.75,-0.19
TOTAL,2739,1443,52.7,938.64,337910.64,0.343
