symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
AUD_JPY,74,47,63.5,43.27,47595.09,0.585
USD_CHF,80,49,61.3,37.3,41032.06,0.466
USD_JPY,81,47,58.0,33.85,37230.61,0.418
USD_CAD,115,63,54.8,29.37,32306.18,0.255
GBP_NZD,88,50,56.8,28.94,31833.74,0.329
GBP_JPY,79,45,57.0,28.78,31652.75,0.364
SPX500_USD,71,39,54.9,26.19,28807.34,0.369
CHF_JPY,75,42,56.0,25.7,28265.71,0.343
NAS100_USD,62,33,53.2,25.23,27748.1,0.407
XAU_USD,69,36,52.2,24.1,26509.06,0.349
EUR_USD,86,46,53.5,23.54,25899.38,0.274
AUD_CAD,95,53,55.8,19.99,21988.06,0.21
GBP_CAD,69,38,55.1,18.42,20256.6,0.267
GBP_AUD,87,45,51.7,17.66,19429.14,0.203
GBP_CHF,66,37,56.1,17.25,18971.81,0.261
EUR_NZD,74,37,50.0,14.45,15899.37,0.195
GBP_USD,84,41,48.8,13.9,15288.15,0.165
XAG_USD,62,28,45.2,12.26,13487.11,0.198
BTC_USD,135,55,40.7,7.83,8611.3,0.058
EUR_CAD,63,30,47.6,6.99,7690.2,0.111
NZD_CHF,62,30,48.4,6.16,6780.15,0.099
EUR_JPY,84,38,45.2,5.61,6175.66,0.067
AUD_USD,92,44,47.8,4.32,4751.28,0.047
ETH_USD,118,47,39.8,4.24,4661.88,0.036
EUR_GBP,71,36,50.7,4.02,4426.09,0.057
AUD_CHF,52,24,46.2,1.3,1430.91,0.025
CAD_JPY,81,35,43.2,-1.75,-1925.47,-0.022
CAD_CHF,57,23,40.4,-3.37,-3707.14,-0.059
AUD_NZD,74,30,40.5,-3.43,-3774.66,-0.046
NZD_CAD,90,38,42.2,-7.92,-8709.83,-0.088
EUR_AUD,75,27,36.0,-9.34,-10278.22,-0.125
NZD_USD,91,34,37.4,-13.65,-15018.96,-0.15
EUR_CHF,88,36,40.9,-14.35,-15784.72,-0.163
NZD_JPY,76,26,34.2,-17.52,-19271.72,-0.231
TOTAL,2726,1329,48.8,409.32,450256.99,0.15
