period,month,trades,wins,win_rate,profit_r,profit_usd
final,2023-01,116,61,52.6,24.59,27047.13
final,2023-02,68,29,42.6,-2.47,-2714.24
final,2023-03,89,43,48.3,18.06,19864.86
final,2023-04,64,38,59.4,23.68,26051.95
final,2023-05,76,37,48.7,12.44,13687.35
final,2023-06,69,36,52.2,16.76,18440.92
final,2023-07,114,49,43.0,3.44,3787.12
final,2023-08,67,31,46.3,3.52,3868.16
final,2023-09,69,22,31.9,-20.35,-22381.9
final,2023-10,95,47,49.5,16.6,18262.78
final,2023-11,94,28,29.8,-34.43,-37870.25
final,2023-12,60,34,56.7,21.37,23505.22
final,2024-01,69,39,56.5,24.58,27033.85
final,2024-02,62,27,43.5,0.94,1032.71
final,2024-03,77,35,45.5,0.91,1002.39
final,2024-04,136,66,48.5,23.2,25521.91
final,2024-05,60,30,50.0,13.17,14486.26
final,2024-06,79,34,43.0,-0.99,-1091.62
final,2024-07,70,23,32.9,-15.91,-17497.34
final,2024-08,65,32,49.2,11.94,13137.94
final,2024-09,92,45,48.9,11.85,13029.67
final,2024-10,56,32,57.1,18.32,20153.27
final,2024-11,91,51,56.0,31.68,34851.22
final,2024-12,69,36,52.2,11.18,12297.51
final,2025-01,92,43,46.7,9.2,10118.28
final,2025-02,68,38,55.9,19.25,21171.58
final,2025-03,69,30,43.5,9.97,10968.47
final,2025-04,95,54,56.8,44.88,49369.23
final,2025-05,60,36,60.0,22.01,24216.28
final,2025-06,48,26,54.2,18.38,20215.16
final,2025-07,68,26,38.2,-8.11,-8915.6
final,2025-08,77,45,58.4,28.48,31325.85
final,2025-09,65,35,53.8,17.2,18916.26
final,2025-10,88,47,53.4,23.78,26159.95
final,2025-11,76,34,44.7,1.17,1290.61
final,2025-12,13,10,76.9,9.01,9914.04
final,TOTAL,2726,1329,48.8,409.32,450256.99
