symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
SPX500_USD,6,6,100.0,12.13,4368.58,2.022
NAS100_USD,5,4,80.0,10.36,3729.6,2.072
XAG_USD,8,6,75.0,9.33,3360.16,1.167
BTC_USD,9,5,55.6,8.29,2984.4,0.921
GBP_CHF,2,2,100.0,5.72,2059.87,2.861
EUR_JPY,2,2,100.0,4.75,1709.56,2.374
USD_CHF,4,3,75.0,4.25,1531.03,1.063
GBP_JPY,2,2,100.0,4.04,1455.86,2.022
AUD_JPY,1,1,100.0,2.37,854.67,2.374
NZD_USD,1,1,100.0,2.26,812.19,2.256
AUD_CHF,1,1,100.0,2.24,807.25,2.242
AUD_CAD,1,1,100.0,2.2,793.34,2.204
USD_JPY,1,1,100.0,1.67,601.07,1.67
GBP_NZD,1,1,100.0,1.62,584.07,1.622
EUR_NZD,1,1,100.0,1.61,579.38,1.609
ETH_USD,3,1,33.3,1.49,536.4,0.497
CAD_CHF,5,2,40.0,0.76,275.22,0.153
CHF_JPY,3,1,33.3,-0.33,-119.16,-0.11
USD_CAD,3,1,33.3,-0.73,-261.75,-0.242
NZD_JPY,1,0,0.0,-1.0,-360.14,-1.0
CAD_JPY,1,0,0.0,-1.0,-360.2,-1.001
GBP_CAD,2,0,0.0,-2.21,-795.82,-1.105
NZD_CAD,2,0,0.0,-2.3,-827.95,-1.15
EUR_USD,2,0,0.0,-2.35,-845.47,-1.174
EUR_GBP,4,0,0.0,-4.8,-1727.2,-1.199
TOTAL,71,42,59.2,60.4,21744.91,0.851
