symbol,direction,fill_time,fill_price,exit_time,exit_price,lot_size,risk_usd,commission,realized_r,realized_pnl,tp1_hit,tp2_hit,tp3_hit
XAU_USD,bullish,2023-01-02T23:00:00+00:00,1829.455,2023-01-03T06:00:00+00:00,1843.2894729783482,0.02,180.0,0.08,0.7052795259460958,126.95031467029725,True,True,True
ETH_USD,bearish,2023-01-02T00:00:00+00:00,1201.103271484375,2023-01-04T00:00:00+00:00,1242.2665900989975,0.01,180.0,0.04,-0.9968706028208222,-179.436708507748,False,False,False
SPX500_USD,bearish,2023-01-03T00:00:00+00:00,3853.2900390625,2023-01-04T00:00:00+00:00,3853.2900390625,0.56,181.84679999999997,0.0,0.21000000000000002,38.187827999999996,True,False,False
XAU_USD,bullish,2023-01-04T00:00:00+00:00,1838.755,2023-01-04T01:00:00+00:00,1838.755,0.03,183.34251736803262,0.12,0.20934548733309297,38.38192864728685,True,False,False
XAU_USD,bullish,2023-01-05T00:00:00+00:00,1855.205,2023-01-05T01:00:00+00:00,1855.205,0.02,182.0730243492885,0.08,0.209560615855721,38.15533511335058,True,False,False
XAG_USD,bullish,2023-01-02T23:00:00+00:00,24.1043,2023-01-05T08:00:00+00:00,23.56822840609084,0.01,180.0,0.04,0.42196486624514973,75.95367592412696,True,True,False
NAS100_USD,bearish,2023-01-03T00:00:00+00:00,10562.0595703125,2023-01-06T00:00:00+00:00,10568.108183733642,0.1,181.84679999999997,0.0,0.567499379465047,103.1979461577045,True,True,False
SPX500_USD,bearish,2023-01-05T00:00:00+00:00,3839.739990234375,2023-01-06T00:00:00+00:00,3839.739990234375,0.54,182.0730243492885,0.0,0.21,38.23533511335058,True,False,False
XAG_USD,bearish,2023-01-06T00:00:00+00:00,23.272,2023-01-06T01:00:00+00:00,23.272,0.01,182.52072346464593,0.04,0.20978084680336173,38.28935192757564,True,False,False
XAU_USD,bullish,2023-01-06T00:00:00+00:00,1834.415,2023-01-06T09:00:00+00:00,1834.415,0.03,182.52072346464593,0.12,0.20934254041008526,38.20935192757564,True,False,False
BTC_USD,bearish,2023-01-02T00:00:00+00:00,16625.509765625,2023-01-09T00:00:00+00:00,17124.373493905787,0.36,180.0,0.0,-1.4124330898571023,-254.2379561742784,False,False,False
XAU_USD,bullish,2023-01-09T00:00:00+00:00,1868.615,2023-01-09T01:00:00+00:00,1868.615,0.02,183.20511923076162,0.08,0.2095633309793094,38.39307503845994,True,False,False
NAS100_USD,bearish,2023-01-09T00:00:00+00:00,10662.099609375,2023-01-10T00:00:00+00:00,10662.099609375,0.11,183.20511923076162,0.0,0.21,38.47307503845994,True,False,False
SPX500_USD,bullish,2023-01-09T00:00:00+00:00,3910.820068359375,2023-01-10T00:00:00+00:00,3910.820068359375,1.19,183.20511923076162,0.0,0.21,38.47307503845994,True,False,False
XAG_USD,bullish,2023-01-09T00:00:00+00:00,23.946,2023-01-10T00:00:00+00:00,23.572981157659502,0.01,183.20511923076162,0.04,0.46727677841091725,85.60749790253827,True,True,False
XAU_USD,bullish,2023-01-10T00:00:00+00:00,1870.765,2023-01-10T01:00:00+00:00,1870.765,0.02,182.8948729128853,0.08,0.20956259025348345,38.32792331170591,True,False,False
BTC_USD,bullish,2023-01-10T00:00:00+00:00,17192.94921875,2023-01-11T00:00:00+00:00,17761.06750067613,0.21,182.8948729128853,0.0,0.9818372208611784,179.5729937305457,True,True,True
ETH_USD,bullish,2023-01-11T00:00:00+00:00,1336.48681640625,2023-01-11T00:00:00+00:00,1377.8519606346356,0.01,184.00870014020273,0.04,0.7829721652709869,144.0736903774743,True,True,True
XAG_USD,bullish,2023-01-11T00:00:00+00:00,23.649,2023-01-11T01:00:00+00:00,23.649,0.01,184.00870014020273,0.04,0.20978261897415978,38.601827029442575,True,False,False
XAU_USD,bullish,2023-01-11T00:00:00+00:00,1878.025,2023-01-11T01:00:00+00:00,1878.025,0.02,184.00870014020273,0.08,0.2095652379483196,38.561827029442576,True,False,False
BTC_USD,bullish,2023-01-12T00:00:00+00:00,18117.59375,2023-01-12T00:00:00+00:00,18877.32537692661,0.1,187.0255189289267,0.0,0.8795452957690602,164.49741536270477,True,True,True
XAG_USD,bullish,2023-01-12T00:00:00+00:00,23.4603,2023-01-12T01:00:00+00:00,23.4603,0.01,187.0255189289267,0.04,0.2097861254430461,39.235358975074604,True,False,False
XAU_USD,bullish,2023-01-12T00:00:00+00:00,1877.705,2023-01-12T01:00:00+00:00,1877.705,0.02,187.0255189289267,0.08,0.2095722508860922,39.195358975074605,True,False,False
ETH_USD,bullish,2023-01-12T00:00:00+00:00,1405.3514404296875,2023-01-13T00:00:00+00:00,1460.28030887789,0.01,187.0255189289267,0.04,0.7706259247810059,144.12671348225166,True,True,True
XAU_USD,bullish,2023-01-13T00:00:00+00:00,1898.195,2023-01-13T01:00:00+00:00,1898.195,0.02,190.17131304084782,0.08,0.20957932666751472,39.855975738578046,True,False,False
XAG_USD,bullish,2023-01-13T00:00:00+00:00,23.8475,2023-01-13T09:00:00+00:00,23.8475,0.01,190.17131304084782,0.04,0.20978966333375737,39.895975738578045,True,False,False
BTC_USD,bullish,2023-01-13T00:00:00+00:00,18868.90625,2023-01-16T00:00:00+00:00,19995.59683137729,0.07,190.17131304084782,0.0,0.8881121193011133,168.8934478549828,True,True,True
XAG_USD,bullish,2023-01-16T00:00:00+00:00,24.2495,2023-01-16T01:00:00+00:00,24.2495,0.01,192.2023589492767,0.04,0.20979188600900286,40.322495379348105,True,False,False
XAU_USD,bullish,2023-01-16T00:00:00+00:00,1919.15,2023-01-16T01:00:00+00:00,1919.15,0.01,192.2023589492767,0.04,0.20979188600900286,40.322495379348105,True,False,False
XAG_USD,bullish,2023-01-17T00:00:00+00:00,24.31245,2023-01-17T01:00:00+00:00,24.31245,0.01,194.45862416231,0.04,0.20979430071475452,40.7963110740851,True,False,False
XAU_USD,bullish,2023-01-17T00:00:00+00:00,1918.34,2023-01-17T01:00:00+00:00,1918.34,0.01,194.45862416231,0.04,0.20979430071475452,40.7963110740851,True,False,False
SPX500_USD,bullish,2023-01-11T00:00:00+00:00,3932.35009765625,2023-01-18T00:00:00+00:00,4002.7184490977183,1.06,184.00870014020273,0.0,0.7813890034031248,143.78237482005744,True,True,False
NAS100_USD,bullish,2023-01-12T00:00:00+00:00,10969.259765625,2023-01-18T00:00:00+00:00,10969.259765625,0.52,187.0255189289267,0.0,0.21,39.2753589750746,True,False,False
ETH_USD,bullish,2023-01-16T00:00:00+00:00,1552.519287109375,2023-01-18T00:00:00+00:00,1537.230529819436,0.01,192.2023589492767,0.04,0.5338119814138157,102.59992206312282,True,True,False
BTC_USD,bullish,2023-01-17T00:00:00+00:00,21175.833984375,2023-01-18T00:00:00+00:00,20579.708383105222,0.04,194.45862416231,0.0,0.4574925041724063,88.963362925936,True,True,False
XAU_USD,bullish,2023-01-18T00:00:00+00:00,1907.38,2023-01-18T01:00:00+00:00,1907.38,0.02,197.14019692282614,0.08,0.2095941974227036,41.319441353793486,True,False,False
XAG_USD,bullish,2023-01-18T00:00:00+00:00,23.91235,2023-01-18T15:00:00+00:00,24.041966061028692,0.01,197.14019692282614,0.04,0.3324085631250967,65.53108959331524,True,False,False
XAU_USD,bullish,2023-01-19T00:00:00+00:00,1905.155,2023-01-19T01:00:00+00:00,1905.155,0.02,198.19242716455054,0.08,0.20959635188314446,41.540409704555614,True,False,False
BTC_USD,bullish,2023-01-19T00:00:00+00:00,20686.74609375,2023-01-20T00:00:00+00:00,22289.28460817263,0.05,198.19242716455054,0.0,0.8691792496721508,172.26474513358642,True,True,True
