trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,lot_size,risk_usd,commission,gross_pnl,net_pnl,final_r,risk_pct_used,lot_multiplier,tp1_hit,tp2_hit,tp3_hit
XAG_USD_0,XAG_USD,bearish,2023-01-05 00:00:00,2023-01-16 01:00:00,23.341060047149657,24.4925,SL,0.1,545.19,0.4,-545.19,-545.59,-1.0,0.9,1.5,False,False,False
XAG_USD_4,XAG_USD,bearish,2023-01-13 00:00:00,2023-01-20 08:00:00,24.04409620285034,23.9208,TP1+Trail,0.15,547.53,0.6,191.63549999999998,191.03549999999998,0.35,0.9,1.5,True,False,False
NAS100_USD_3,NAS100_USD,bearish,2023-01-12 00:00:00,2023-02-01 20:00:00,11499.3635,12365.6,SL,0.64,540.25,0.0,-540.25,-540.25,-1.0,0.9,1.5,False,False,False
XAG_USD_6,XAG_USD,bullish,2023-01-24 00:00:00,2023-02-02 16:00:00,23.629685985565185,23.5505,TP1+Trail,0.16,549.82,0.64,192.437,191.79700000000003,0.35,0.945,1.575,True,False,False
XAG_USD_12,XAG_USD,bullish,2023-02-02 00:00:00,2023-02-02 16:00:00,23.629685985565185,23.5505,TP1+Trail,0.11,535.43,0.44,187.40049999999997,186.96049999999997,0.35,0.9,1.5,True,False,False
XAU_USD_13,XAU_USD,bullish,2023-02-03 00:00:00,2023-02-03 17:00:00,1895.398594238281,1863.53,SL,0.19,594.42,0.76,-594.42,-595.18,-1.0,0.99,1.6500000000000001,False,False,False
SPX500_USD_1,SPX500_USD,bullish,2023-01-06 00:00:00,2023-02-09 22:00:00,3874.5575,3874.5575,SAFETY_DAILY_DD_5.7%,4.59,540.32,0.0,268.1338,268.1338,0.49624999999999997,0.9,1.5,True,True,False
SPX500_USD_2,SPX500_USD,bullish,2023-01-09 00:00:00,2023-02-09 22:00:00,3968.793,3968.793,SAFETY_DAILY_DD_5.7%,2.55,539.56,0.0,188.84599999999998,188.84599999999998,0.35,0.9,1.5,True,False,False
SPX500_USD_5,SPX500_USD,bullish,2023-01-19 00:00:00,2023-02-09 22:00:00,3906.165,3906.165,SAFETY_DAILY_DD_5.7%,3.63,535.1,0.0,265.54337499999997,265.54337499999997,0.49624999999999997,0.9,1.5,True,True,False
BTC_USD_7,BTC_USD,bullish,2023-01-29 22:00:00,2023-02-09 22:00:00,23096.53470703125,21771.0,SAFETY_DAILY_DD_5.7%,0.2,561.44,0.0,-265.1087056814106,-265.1087056814106,-0.4721941893727033,0.945,1.575,False,False,False
ETH_USD_8,ETH_USD,bullish,2023-01-29 22:00:00,2023-02-09 22:00:00,1616.492167724609,1538.44,SAFETY_DAILY_DD_5.7%,4.37,564.02,0.0,-341.0885471329093,-341.0885471329093,-0.6047454826653476,0.945,1.575,False,False,False
BTC_USD_9,BTC_USD,bullish,2023-01-30 00:00:00,2023-02-09 22:00:00,23096.53470703125,21771.0,SAFETY_DAILY_DD_5.7%,0.2,564.3,0.0,-265.1065845385174,-265.1065845385174,-0.46979724355576363,0.945,1.575,False,False,False
BTC_USD_10,BTC_USD,bullish,2023-01-31 00:00:00,2023-02-09 22:00:00,23139.283203125,21771.0,SAFETY_DAILY_DD_5.7%,0.2,571.67,0.0,-273.6573288846656,-273.6573288846656,-0.4786980756112191,0.945,1.575,False,False,False
ETH_USD_11,ETH_USD,bullish,2023-02-01 00:00:00,2023-02-09 22:00:00,1616.492167724609,1538.44,SAFETY_DAILY_DD_5.7%,4.33,564.16,0.0,-337.96750943145196,-337.96750943145196,-0.599063225736408,0.945,1.575,False,False,False
ETH_USD_14,ETH_USD,bullish,2023-02-05 22:00:00,2023-02-09 22:00:00,1616.492167724609,1538.44,SAFETY_DAILY_DD_5.7%,4.06,529.57,0.0,-316.89269602590196,-316.89269602590196,-0.5983962385065278,0.9,1.5,False,False,False
XAU_USD_15,XAU_USD,bearish,2023-02-09 00:00:00,2023-02-09 22:00:00,1862.8517604980468,1862.8517604980468,SAFETY_DAILY_DD_5.7%,0.06,528.08,0.24,0.0,-0.24,0.0,0.9,1.5,False,False,False
ETH_USD_17,ETH_USD,bearish,2023-02-15 00:00:00,2023-02-16 15:00:00,1608.9225998535155,1724.2,SL,3.5,416.53,0.0,-416.53,-416.53,-1.0,0.72,1.2,False,False,False
NAS100_USD_18,NAS100_USD,bearish,2023-02-16 00:00:00,2023-03-03 18:00:00,12655.559,12237.8,TP2+Trail,1.01,417.58,0.0,437.937025,437.937025,1.04875,0.72,1.2,True,True,False
ETH_USD_21,ETH_USD,bullish,2023-02-26 22:00:00,2023-03-09 20:00:00,1570.6920576171874,1413.86,SL,3.31,413.36,0.0,-413.36,-413.36,-1.0,0.72,1.2,False,False,False
SPX500_USD_16,SPX500_USD,bullish,2023-02-10 00:00:00,2023-03-10 18:00:00,4065.119,3850.2,SL,2.17,415.97,0.0,-415.97,-415.97,-1.0,0.72,1.2,False,False,False
BTC_USD_23,BTC_USD,bullish,2023-03-12 21:00:00,2023-03-12 21:00:00,22163.94921875,20095.0,SL,0.2,404.01,0.0,-404.01,-404.01,-1.0,0.72,1.2,False,False,False
GBP_NZD_34,GBP_NZD,bullish,2023-03-12 21:00:00,2023-03-12 22:00:00,1.9428452,1.96142,TP2+Trail,0.25,418.57,1.0,438.97528750000004,437.97528750000004,1.04875,0.72,1.2,True,True,False
NAS100_USD_19,NAS100_USD,bullish,2023-02-21 00:00:00,2023-03-13 08:00:00,12123.69,11919.8,SAFETY_DAILY_DD_5.9%,0.69,411.96,0.0,-140.68539978884655,-140.68539978884655,-0.34150257255278804,0.72,1.2,False,False,False
ETH_USD_20,ETH_USD,bearish,2023-02-24 00:00:00,2023-03-13 08:00:00,1608.3731689453125,1608.3731689453125,SAFETY_DAILY_DD_5.9%,2.78,413.87,0.0,205.38298749999998,205.38298749999998,0.49624999999999997,0.72,1.2,True,True,False
XAU_USD_22,XAU_USD,bearish,2023-03-03 00:00:00,2023-03-13 08:00:00,1845.6864301757807,1885.585,SAFETY_DAILY_DD_5.9%,0.03,361.14,0.12,-119.69709974340967,-119.81709974340967,-0.3314423762070379,0.72,1.2,False,False,False
ETH_USD_24,ETH_USD,bearish,2023-03-12 21:00:00,2023-03-13 08:00:00,1582.8960219726562,1582.8960219726562,SAFETY_DAILY_DD_5.9%,3.52,410.97,0.0,143.8395,143.8395,0.35,0.72,1.2,True,False,False
USD_JPY_25,USD_JPY,bullish,2023-03-12 21:00:00,2023-03-13 08:00:00,133.295704,133.81,SAFETY_DAILY_DD_5.9%,0.21,415.22,0.84,81.02523619248481,80.18523619248481,0.19513808629758875,0.72,1.2,False,False,False
CHF_JPY_26,CHF_JPY,bullish,2023-03-12 21:00:00,2023-03-13 08:00:00,145.33184,146.134,SAFETY_DAILY_DD_5.9%,0.01,1418.94,0.04,1018.0313958562498,1017.9913958562498,0.7174590862589325,0.72,1.2,True,False,False
