date,start_balance,end_balance,hwm,min_equity_allowed,lowest_equity,highest_equity,max_open_trades,trades_opened,trades_closed,realized_pnl,daily_dd_breached
2023-01-02,60000.0,60226.799999999996,60000.0,57000.0,60263.326085959496,60715.39746209941,5,5,3,226.79999999999998,False
2023-01-03,60226.799999999996,60358.01999999999,60345.490881240024,57328.216337178026,60345.37048824847,61430.19375822034,10,8,4,131.21999999999892,False
2023-01-04,60358.01999999999,59807.21999999998,61056.53807931332,58003.71117534766,59485.57742144671,61876.75390985037,15,9,10,-550.7999999999998,False
2023-01-05,59807.21999999998,60034.019999999975,59807.21999999998,56816.85899999998,59486.621609681555,60042.501007781844,12,7,3,226.79999999999998,False
2023-01-06,60034.019999999975,59825.21999999997,60034.019999999975,57032.318999999974,59680.76255626008,60060.2538080085,14,5,3,-208.8,False
2023-01-07,59825.21999999997,59825.21999999997,59847.94280696783,56855.54566661944,59785.82942332826,59785.82942332826,11,0,0,0.0,False
2023-01-09,59825.21999999997,59952.659999999974,59825.21999999997,56833.95899999997,59252.38246279878,59843.0478290368,14,3,2,127.43999999999994,False
2023-01-10,59952.659999999974,60028.25999999997,59952.659999999974,56955.02699999997,58751.631043895955,59235.644598682826,15,3,1,75.6,False
2023-01-11,60028.25999999997,59743.85999999997,60028.25999999997,57026.84699999997,58697.280749827136,59365.46061878188,21,7,2,-284.4,False
2023-01-12,59743.85999999997,59910.71999999997,59743.85999999997,56756.66699999997,59333.95789023353,60784.52463324643,28,9,9,166.8600000000048,False
2023-01-13,59910.71999999997,59606.33999999997,60709.93953623879,57674.44255942685,59985.476654854334,60826.31168257951,24,5,4,-304.3799999999997,False
2023-01-14,59606.33999999997,59606.33999999997,60209.32316330352,57198.85700513834,60195.91202639763,60195.91202639763,20,0,0,0.0,False
2023-01-16,59606.33999999997,59586.35999999997,60195.91202639763,57186.11642507775,60000.34255969542,60501.52293660424,20,0,2,-19.97999999999888,False
2023-01-17,59586.35999999997,60304.37999999996,60151.54190464379,57143.9648094116,60145.69014609005,60945.98196100324,21,3,6,718.0200000000003,False
2023-01-18,60304.37999999996,61740.41999999994,60542.42052206028,57515.29949595727,60529.928757248286,62732.26727493721,32,17,12,1436.0399999999988,False
2023-01-19,61740.41999999994,61247.219999999936,62515.4001802051,59389.63017119485,61320.91978772731,63190.90439158025,33,13,5,-493.19999999999993,False
2023-01-20,61247.219999999936,61509.65999999992,61675.90632885723,58592.11101241437,61583.324646875735,62728.87683961197,33,6,8,262.43999999999994,False
2023-01-21,61509.65999999992,61509.65999999992,62703.46429467723,59568.29107994337,62678.67376931895,62678.67376931895,26,0,0,0.0,False
2023-01-23,61509.65999999992,61600.91999999991,62678.67376931895,59544.740080853,62016.49765442008,63317.809960806095,33,8,8,91.25999999999846,False
2023-01-24,61600.91999999991,62356.5599999999,62016.49765442008,58915.67277169908,61811.17709286956,62664.96735215323,28,3,3,755.6400000000004,False
