symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
XAU_USD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 01:45:00,1156.9696186523438,2017-01-05 15:15:00,1181.4061085083315,SL,0.07,180.0,0.28,-180.28
EUR_CHF,bearish,15,5,True,2017-01-03 00:00:00,2017-01-04 15:30:00,1.072858,2017-01-06 13:00:00,1.072858,SL,0.35,180.19439999999997,1.4,20.223328
GBP_NZD,bullish,14,4,False,2017-01-03 00:00:00,2017-01-03 00:00:00,1.7757995599999998,2017-01-09 06:45:00,1.7498694454553263,SL,0.12,180.0,0.48,-180.48
USD_JPY,bullish,15,5,True,2017-01-03 00:00:00,2017-01-05 15:15:00,115.44844,2017-01-10 03:30:00,115.44844,SL,0.12,180.38900995199998,0.48,21.16668119424
XAG_USD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-05 15:15:00,16.704107572555543,2017-01-10 03:45:00,16.704107572555543,SL,0.06,180.38900995199998,0.24,21.40668119424
AUD_NZD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 12:45:00,1.0436,2017-01-10 11:45:00,1.0522343280630684,SL,0.35,180.0,1.4,-181.4
AUD_CHF,bearish,14,4,False,2017-01-03 00:00:00,2017-01-03 11:15:00,0.74178,2017-01-11 06:45:00,0.7513076064207578,SL,0.19,180.0,0.76,-180.76
EUR_USD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-05 05:15:00,1.05507342,2017-01-11 17:45:00,1.05507342,SL,0.12,180.19439999999997,0.48,21.143327999999997
EUR_CHF,bearish,15,5,True,2017-01-09 00:00:00,2017-01-09 08:30:00,1.07326,2017-01-11 18:00:00,1.07326,SL,0.43,177.51921021349634,1.72,19.582305225619564
USD_CAD,bullish,15,5,True,2017-01-03 00:00:00,2017-01-05 05:15:00,1.32696372,2017-01-12 09:45:00,1.3036548569232291,SL,0.1,180.19439999999997,0.4,-180.59439999999998
AUD_CAD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-11 02:45:00,0.97706258,2017-01-12 16:15:00,0.9862116787574713,SL,0.26,176.0747401654963,1.04,-177.1147401654963
CAD_JPY,bullish,14,4,False,2017-01-03 00:00:00,2017-01-12 15:15:00,86.843958,2017-01-16 02:30:00,86.843958,SL,0.14,115.45938750968463,0.56,13.295126501162155
NZD_CAD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-12 16:15:00,0.9381233,2017-01-17 05:45:00,0.9381233,SL,0.19,173.18908126452692,0.76,20.02268975174323
USD_JPY,bullish,15,5,True,2017-01-11 00:00:00,2017-01-11 17:45:00,115.414,2017-01-17 09:00:00,113.05671328829565,SL,0.11,174.83423086452694,0.44,-175.27423086452694
EUR_USD,bearish,15,5,True,2017-01-12 00:00:00,2017-01-12 00:00:00,1.05507342,2017-01-17 11:00:00,1.0689856173451888,SL,0.13,174.81443086452694,0.52,-175.33443086452695
USD_CHF,bullish,15,5,True,2017-01-03 00:00:00,2017-01-05 00:00:00,1.01975356,2017-01-17 11:15:00,1.0024287620026455,SL,0.1,180.19439999999997,0.4,-180.59439999999998
AUD_USD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-11 06:45:00,0.7391482,2017-01-17 11:30:00,0.7556846023886533,SL,0.11,176.0747401654963,0.44,-176.5147401654963
GBP_AUD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-05 05:15:00,1.67494326,2017-01-17 12:30:00,1.6319104240829123,SL,0.07,180.19439999999997,0.28,206.94355999999982
CHF_JPY,bullish,15,5,True,2017-01-03 00:00:00,2017-01-11 17:45:00,113.551868,2017-01-23 06:00:00,113.551868,SL,0.22,174.83423086452694,0.88,20.100107703743234
USD_JPY,bullish,15,5,True,2017-01-18 00:00:00,2017-01-19 07:15:00,115.6153,2017-01-23 15:30:00,113.03833303592526,SL,0.1,168.34694937754847,0.4,-168.74694937754848
AUD_NZD,bullish,14,4,False,2017-01-17 00:00:00,2017-01-17 14:00:00,1.0487,2017-01-23 16:45:00,1.0487,SL,0.35,168.1653308202626,1.4,18.779839698431513
EUR_USD,bearish,15,5,True,2017-01-18 00:00:00,2017-01-19 14:00:00,1.05507342,2017-01-23 21:30:00,1.0760791914559023,SL,0.08,168.34694937754847,0.32,-168.66694937754846
EUR_AUD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 00:00:00,1.45306,2017-01-25 08:30:00,1.4263421152832363,SL,0.11,180.0,0.44,204.7445564262835
GBP_USD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-23 03:00:00,1.2433891799999999,2017-01-25 16:30:00,1.2619891621635582,SL,0.09,168.53577034688217,0.36,-168.8957703468822
GBP_CAD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-23 07:30:00,1.65495222,2017-01-26 08:00:00,1.65495222,SL,0.15,168.52785034688216,0.6,19.623342041625857
EUR_JPY,bearish,15,5,True,2017-01-17 00:00:00,2017-01-19 16:45:00,122.55244,2017-01-26 10:15:00,122.55244,SL,0.15,168.34694937754847,0.6,19.601633925305816
EUR_CHF,bearish,15,5,True,2017-01-12 00:00:00,2017-01-12 00:00:00,1.0728,2017-01-31 17:30:00,1.0679174413517292,SL,0.39,174.81443086452694,1.56,199.47659549420598
EUR_JPY,bullish,15,5,True,2017-01-27 00:00:00,2017-01-30 13:15:00,121.58591,2017-02-02 03:45:00,121.58591,SL,0.17,165.92942596578627,0.68,19.231531115894352
XAU_USD,bearish,15,5,True,2017-01-31 00:00:00,2017-01-31 14:15:00,1207.731,2017-02-02 13:30:00,1225.080127697824,SL,0.1,166.86362396716407,0.4,-167.26362396716408
NZD_JPY,bullish,15,5,True,2017-01-03 00:00:00,2017-01-03 01:00:00,81.990716,2017-02-03 02:15:00,81.990716,SL,0.17,180.0,0.68,20.92
GBP_CHF,bullish,14,4,False,2017-01-31 00:00:00,2017-01-31 09:45:00,1.23607072,2017-02-06 15:45:00,1.23607072,SL,0.07,166.86362396716407,0.28,19.743634876059687
CAD_JPY,bearish,15,5,True,2017-01-17 00:00:00,2017-01-26 09:45:00,87.15987200000001,2017-02-07 08:15:00,85.14798180489618,TP3,0.26,165.74042596578624,1.04,272.4317028435468
GBP_NZD,bearish,15,5,True,2017-01-31 00:00:00,2017-02-01 02:15:00,1.7297403599999999,2017-02-07 16:45:00,1.7075958499865944,SL,0.14,167.7149153999435,0.56,192.3121527099354
EUR_NZD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 00:00:00,1.5041,2017-02-08 20:00:00,1.471437105543007,SL,0.1,180.0,0.4,206.59999999999977
AUD_NZD,bearish,15,5,True,2017-01-31 00:00:00,2017-02-02 07:30:00,1.04898468,2017-02-08 20:00:00,1.04898468,SL,0.28,168.06821189387105,1.12,19.048185427264528
NZD_JPY,bullish,15,5,True,2017-02-06 00:00:00,2017-02-06 13:00:00,82.051,2017-02-09 03:00:00,80.72442863722259,SL,0.19,166.91685104684157,0.76,-167.67685104684156
EUR_NZD,bearish,15,5,True,2017-02-09 00:00:00,2017-02-09 00:45:00,1.4732516,2017-02-09 04:30:00,1.4857087243525875,SL,0.23,173.11587500467476,0.92,-174.03587500467475
NZD_CAD,bullish,15,5,True,2017-02-07 00:00:00,2017-02-08 20:15:00,0.95454858,2017-02-09 15:00:00,0.9433036098394822,SL,0.21,173.11587500467476,0.84,-173.95587500467477
USD_CAD,bullish,14,4,False,2017-02-07 00:00:00,2017-02-07 00:00:00,1.30916,2017-02-10 13:30:00,1.30916,SL,0.14,167.81040656651152,0.56,19.577248787981382
AUD_JPY,bearish,15,5,True,2017-01-03 00:00:00,2017-01-09 02:00:00,85.899164,2017-02-13 00:00:00,87.40355330844028,SL,0.18,179.14353021349632,0.72,-179.86353021349632
CAD_CHF,bullish,15,5,True,2017-01-17 00:00:00,2017-01-20 13:30:00,0.75321912,2017-02-16 15:15:00,0.7645947432901288,SL,0.16,168.53577034688217,0.64,193.17613589891414
AUD_JPY,bullish,15,5,True,2017-02-14 00:00:00,2017-02-17 13:30:00,86.32570799999999,2017-02-24 11:30:00,86.32570799999999,SL,0.22,169.13568694226169,0.88,19.416282433071405
EUR_NZD,bearish,15,5,True,2017-02-10 00:00:00,2017-02-10 14:30:00,1.4732516,2017-02-24 14:00:00,1.4732516,SL,0.16,168.46981759516902,0.64,19.576378111420283
