symbol,direction,confluence,quality_factors,regime,signal_time,fill_time,fill_price,exit_time,exit_price,exit_reason,lot_size,risk_usd,commission,realized_pnl
GBP_NZD,bullish,14,4,False,2017-01-03 00:00:00,2017-01-03 04:00:00,1.7669205622,2017-01-03 17:45:00,1.7669205622,SL,0.18,180.0,0.72,20.880000000000003
CAD_JPY,bullish,14,4,False,2017-01-03 00:00:00,2017-01-03 00:00:00,87.36,2017-01-05 06:30:00,87.36,SL,0.15,180.0,0.6,21.0
XAU_USD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 00:00:00,1150.96,2017-01-05 15:15:00,1181.4061085083315,SL,0.06,180.0,0.24,-181.57874617671538
AUD_NZD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 00:00:00,1.03834,2017-01-10 11:45:00,1.0522343280630684,SL,0.22,180.0,0.88,-181.4257566385663
AUD_CHF,bearish,14,4,False,2017-01-03 00:00:00,2017-01-03 02:30:00,0.7380711,2017-01-11 06:45:00,0.7513076064207578,SL,0.14,180.0,0.56,-180.56
EUR_GBP,bullish,15,5,True,2017-01-03 00:00:00,2017-01-03 09:30:00,0.8479395245999999,2017-01-11 15:00:00,0.865125457593084,SL,0.09,180.0,0.36,206.63999999999987
GBP_CAD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 00:00:00,1.6466774589,2017-01-11 16:15:00,1.5976813476923855,TP3,0.1,180.0,0.4,296.6
NZD_CAD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 01:15:00,0.9334326835,2017-01-12 14:45:00,0.9334326835,SL,0.14,180.0,0.56,21.040000000000003
AUD_CAD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-04 01:30:00,0.9721772671,2017-01-12 16:15:00,0.9862116787574713,SL,0.17,180.18791999999996,0.68,-180.86791999999997
GBP_JPY,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 07:30:00,144.89000751,2017-01-16 00:00:00,138.0873080863658,TP3,0.08,180.0,0.32,296.68000000000023
GBP_AUD,bearish,15,5,True,2017-01-03 00:00:00,2017-01-03 18:30:00,1.6833179763,2017-01-16 00:00:00,1.6187512846882866,TP3,0.09,180.18791999999996,0.36,296.95006799999993
USD_JPY,bullish,15,5,True,2017-01-13 00:00:00,2017-01-13 00:00:00,114.898,2017-01-17 09:15:00,113.04957337906755,SL,0.15,180.9088448988495,0.6,-184.17062028296763
EUR_USD,bearish,15,5,True,2017-01-11 00:00:00,2017-01-11 00:00:00,1.0529488,2017-01-17 11:00:00,1.0689682987751832,SL,0.11,179.83116436444956,0.44,-180.27116436444956
